combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen
1-2,overall,all,15201,2887,18.99,1520100,1216730,-303370,80.04,421.45
1-3,overall,all,15201,2397,15.77,1520100,1195440,-324660,78.64,498.72
1-4,overall,all,15201,1532,10.08,1520100,1132080,-388020,74.47,738.96
1-5,overall,all,15201,999,6.57,1520100,1191970,-328130,78.41,1193.16
1-6,overall,all,15201,595,3.91,1520100,1063460,-456640,69.96,1787.33
