combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,baseline_hit_rate_pct,baseline_roi_pct,baseline_avg_hit_payout_yen,roi_lift_pct,hit_rate_lift_pct,avg_payout_lift_yen,distortion_type,positive_months,months_with_sample
1-5,lane1_target_exhibition_st_rank_pair,1-2,511,54,10.57,51100,65860,14760,128.88,1219.63,6.57,78.41,1193.16,50.47,4.0,26.47,mixed_edge,4,4
1-5,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,695,61,8.78,69500,87500,18000,125.9,1434.43,6.57,78.41,1193.16,47.49,2.21,241.27,price_distortion,4,4
1-5,lane1_target_start_gap_pair,best-<=0.03,866,90,10.39,86600,103910,17310,119.99,1154.56,6.57,78.41,1193.16,41.58,3.82,-38.6,mixed_edge,4,4
1-6,lane1_target_exhibition_st_rank_pair,3-1,358,28,7.82,35800,52330,16530,146.17,1868.93,3.91,69.96,1787.33,76.21,3.91,81.6,price_distortion,3,4
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-best | high_other_pressure,308,90,29.22,30800,39440,8640,128.05,438.22,18.99,80.04,421.45,48.01,10.23,16.77,probability_plus_price,3,4
1-2,lane1_target_start_gap_pair,best-best,406,126,31.03,40600,50000,9400,123.15,396.83,18.99,80.04,421.45,43.11,12.04,-24.62,probability_plus_price,3,4
1-5,lane1_target_start_gap_pair,0.04-0.06-0.04-0.06,554,46,8.3,55400,65530,10130,118.29,1424.57,6.57,78.41,1193.16,39.88,1.73,231.41,price_distortion,3,4
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,>0.06-best | high_other_pressure,981,44,4.49,98100,115670,17570,117.91,2628.86,3.91,69.96,1787.33,47.95,0.58,841.53,price_distortion,3,4
1-3,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,2 | 0,1354,315,23.26,135400,156790,21390,115.8,497.75,15.77,78.64,498.72,37.16,7.49,-0.97,probability_plus_price,3,4
1-4,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,766,103,13.45,76600,88450,11850,115.47,858.74,10.08,74.47,738.96,41.0,3.37,119.78,price_distortion,3,4
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,1049,261,24.88,104900,121090,16190,115.43,463.95,18.99,80.04,421.45,35.39,5.89,42.5,probability_plus_price,3,4
1-2,lane1_target_exhibition_st_rank_pair,1-2,1752,494,28.2,175200,201860,26660,115.22,408.62,18.99,80.04,421.45,35.18,9.21,-12.83,probability_plus_price,3,4
