portfolio_label,bets,unique_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct
raw_with_overlap,1832,1150,226,12.34,183200,126730,-56470,69.18
dedup_race_combo,1384,1150,171,12.36,138400,100170,-38230,72.38
