combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen
1-2,overall,all,13853,2579,18.62,1385300,1124500,-260800,81.17,436.02
1-3,overall,all,13853,2205,15.92,1385300,1096000,-289300,79.12,497.05
1-4,overall,all,13853,1431,10.33,1385300,1045500,-339800,75.47,730.61
1-5,overall,all,13853,931,6.72,1385300,1076060,-309240,77.68,1155.81
1-6,overall,all,13853,562,4.06,1385300,989270,-396030,71.41,1760.27
