portfolio_label,bets,unique_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct
raw_with_overlap,4172,2133,930,22.29,417200,508270,91070,121.83
dedup_race_combo,2988,2133,648,21.69,298800,369170,70370,123.55
