combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen
1-2,overall,all,14603,2719,18.62,1460300,1172290,-288010,80.28,431.15
1-3,overall,all,14603,2319,15.88,1460300,1147100,-313200,78.55,494.65
1-4,overall,all,14603,1478,10.12,1460300,1094080,-366220,74.92,740.24
1-5,overall,all,14603,963,6.59,1460300,1161300,-299000,79.52,1205.92
1-6,overall,all,14603,561,3.84,1460300,994030,-466270,68.07,1771.89
