portfolio_label,bets,unique_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct
raw_with_overlap,81,81,17,20.99,8100,6160,-1940,76.05
dedup_race_combo,81,81,17,20.99,8100,6160,-1940,76.05
