combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen
1-2,overall,all,13971,2638,18.88,1397100,1110620,-286480,79.49,421.01
1-3,overall,all,13971,2207,15.8,1397100,1102000,-295100,78.88,499.32
1-4,overall,all,13971,1409,10.09,1397100,1032900,-364200,73.93,733.07
1-5,overall,all,13971,917,6.56,1397100,1084420,-312680,77.62,1182.57
1-6,overall,all,13971,560,4.01,1397100,1009640,-387460,72.27,1802.93
