combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,baseline_hit_rate_pct,baseline_roi_pct,baseline_avg_hit_payout_yen,roi_lift_pct,hit_rate_lift_pct,avg_payout_lift_yen,distortion_type,positive_months,months_with_sample,bad_loss_months,worst_month_roi_pct,monthly_detail
1-2,lane1_target_start_gap_pair,best-best,369,120,32.52,36900,48260,11360,130.79,402.17,18.88,79.49,421.01,51.3,13.64,-18.84,probability_plus_price,3,3,0,122.88,2026-01:146r/133.77%/+4930; 2026-02:98r/136.43%/+3570; 2026-03:125r/122.88%/+2860
1-2,target_lane x lane1_target_start_gap_pair,2 | best-best,369,120,32.52,36900,48260,11360,130.79,402.17,18.88,79.49,421.01,51.3,13.64,-18.84,probability_plus_price,3,3,0,122.88,2026-01:146r/133.77%/+4930; 2026-02:98r/136.43%/+3570; 2026-03:125r/122.88%/+2860
1-2,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,best | best,369,120,32.52,36900,48260,11360,130.79,402.17,18.88,79.49,421.01,51.3,13.64,-18.84,probability_plus_price,3,3,0,122.88,2026-01:146r/133.77%/+4930; 2026-02:98r/136.43%/+3570; 2026-03:125r/122.88%/+2860
