combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,baseline_hit_rate_pct,baseline_roi_pct,baseline_avg_hit_payout_yen,roi_lift_pct,hit_rate_lift_pct,avg_payout_lift_yen,distortion_type
1-5,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06->0.06 | high_other_pressure,693,28,4.04,69300,38710,-30590,55.86,1382.5,6.56,77.62,1182.57,-21.76,-2.52,199.93,mixed_edge
1-4,lane1_class,B2,377,25,6.63,37700,21050,-16650,55.84,842.0,10.09,73.93,733.07,-18.09,-3.46,108.93,mixed_edge
1-3,lane1_target_start_gap_pair,>0.06-best,849,99,11.66,84900,47390,-37510,55.82,478.69,15.8,78.88,499.32,-23.06,-4.14,-20.63,mixed_edge
1-3,target_lane x lane1_target_start_gap_pair,3 | >0.06-best,849,99,11.66,84900,47390,-37510,55.82,478.69,15.8,78.88,499.32,-23.06,-4.14,-20.63,mixed_edge
1-3,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,>0.06 | best,849,99,11.66,84900,47390,-37510,55.82,478.69,15.8,78.88,499.32,-23.06,-4.14,-20.63,mixed_edge
1-4,lane1_target_group_pair x other_a_count_bucket,A-B | 0,785,82,10.45,78500,43790,-34710,55.78,534.02,10.09,73.93,733.07,-18.15,0.36,-199.05,mixed_edge
1-4,lane1_target_group_pair x target_outer_pressure_bucket,B-B | some_other_pressure,203,16,7.88,20300,11300,-9000,55.67,706.25,10.09,73.93,733.07,-18.26,-2.21,-26.82,mixed_edge
1-3,lane1_target_exhibition_st_rank_pair,4+-4+,2097,228,10.87,209700,116600,-93100,55.6,511.4,15.8,78.88,499.32,-23.28,-4.93,12.08,mixed_edge
1-3,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,4+ | 4+,2097,228,10.87,209700,116600,-93100,55.6,511.4,15.8,78.88,499.32,-23.28,-4.93,12.08,mixed_edge
1-5,lane1_target_exhibition_st_rank_pair,2-3,357,22,6.16,35700,19840,-15860,55.57,901.82,6.56,77.62,1182.57,-22.05,-0.4,-280.75,mixed_edge
1-5,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,2 | 3,357,22,6.16,35700,19840,-15860,55.57,901.82,6.56,77.62,1182.57,-22.05,-0.4,-280.75,mixed_edge
1-6,lane1_target_start_exhibition_st_diff_bucket,lane1_faster_0.03_0.06,1914,67,3.5,191400,106040,-85360,55.4,1582.69,4.01,72.27,1802.93,-16.87,-0.51,-220.24,mixed_edge
1-6,lane1_class,B2,377,13,3.45,37700,20880,-16820,55.38,1606.15,4.01,72.27,1802.93,-16.89,-0.56,-196.78,mixed_edge
1-6,stadium_code,09,281,8,2.85,28100,15510,-12590,55.2,1938.75,4.01,72.27,1802.93,-17.07,-1.16,135.82,mixed_edge
1-6,stadium_code x target_lane,09 | 6,281,8,2.85,28100,15510,-12590,55.2,1938.75,4.01,72.27,1802.93,-17.07,-1.16,135.82,mixed_edge
1-2,lane1_target_start_gap_pair,<=0.03->0.06,677,98,14.48,67700,37330,-30370,55.14,380.92,18.88,79.49,421.01,-24.35,-4.4,-40.09,mixed_edge
1-2,target_lane x lane1_target_start_gap_pair,2 | <=0.03->0.06,677,98,14.48,67700,37330,-30370,55.14,380.92,18.88,79.49,421.01,-24.35,-4.4,-40.09,mixed_edge
1-2,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,<=0.03 | >0.06,677,98,14.48,67700,37330,-30370,55.14,380.92,18.88,79.49,421.01,-24.35,-4.4,-40.09,mixed_edge
1-4,other_group_pattern,B-A-A-A,357,23,6.44,35700,19660,-16040,55.07,854.78,10.09,73.93,733.07,-18.86,-3.65,121.71,mixed_edge
1-5,lane1_target_national_rank_pair x target_outer_pressure_bucket,3-1 | high_other_pressure,225,23,10.22,22500,12380,-10120,55.02,538.26,6.56,77.62,1182.57,-22.6,3.66,-644.31,mixed_edge
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,>0.06-<=0.03 | high_other_pressure,414,50,12.08,41400,22710,-18690,54.86,454.2,18.88,79.49,421.01,-24.63,-6.8,33.19,mixed_edge
1-3,stadium_code,15,547,73,13.35,54700,29960,-24740,54.77,410.41,15.8,78.88,499.32,-24.11,-2.45,-88.91,mixed_edge
1-3,stadium_code x target_lane,15 | 3,547,73,13.35,54700,29960,-24740,54.77,410.41,15.8,78.88,499.32,-24.11,-2.45,-88.91,mixed_edge
1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06->0.06 | high_other_pressure,601,58,9.65,60100,32710,-27390,54.43,563.97,15.8,78.88,499.32,-24.45,-6.15,64.65,mixed_edge
1-6,stadium_code,07,694,23,3.31,69400,37720,-31680,54.35,1640.0,4.01,72.27,1802.93,-17.92,-0.7,-162.93,mixed_edge
1-6,stadium_code x target_lane,07 | 6,694,23,3.31,69400,37720,-31680,54.35,1640.0,4.01,72.27,1802.93,-17.92,-0.7,-162.93,mixed_edge
1-4,stadium_code,22,503,39,7.75,50300,27320,-22980,54.31,700.51,10.09,73.93,733.07,-19.62,-2.34,-32.56,mixed_edge
1-4,stadium_code x target_lane,22 | 4,503,39,7.75,50300,27320,-22980,54.31,700.51,10.09,73.93,733.07,-19.62,-2.34,-32.56,mixed_edge
1-5,lane1_target_class_pair,B1-B2,702,9,1.28,70200,38100,-32100,54.27,4233.33,6.56,77.62,1182.57,-23.35,-5.28,3050.76,mixed_edge
1-6,target_exhibition_rank_bucket x other_exhibition_faster_than_target_count_bucket,3 | 0,292,10,3.42,29200,15830,-13370,54.21,1583.0,4.01,72.27,1802.93,-18.06,-0.59,-219.93,mixed_edge
