portfolio_label,bets,unique_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct
raw_with_overlap,3673,1589,940,25.59,367300,424410,57110,115.55
dedup_race_combo,2171,1589,552,25.43,217100,258910,41810,119.26
