combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen
1-2,overall,all,14940,2608,17.46,1494000,1178770,-315230,78.9,451.98
1-3,overall,all,14940,2333,15.62,1494000,1200660,-293340,80.37,514.64
1-4,overall,all,14940,1488,9.96,1494000,1123240,-370760,75.18,754.87
1-5,overall,all,14940,948,6.35,1494000,1131180,-362820,75.71,1193.23
1-6,overall,all,14940,566,3.79,1494000,990030,-503970,66.27,1749.17
