combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,baseline_hit_rate_pct,baseline_roi_pct,baseline_avg_hit_payout_yen,roi_lift_pct,hit_rate_lift_pct,avg_payout_lift_yen,distortion_type,positive_months,months_with_sample,bad_loss_months,worst_month_roi_pct,monthly_detail
1-3,lane1_target_exhibition_st_rank_pair,1-3,1408,339,24.08,140800,191680,50880,136.14,565.43,15.62,80.37,514.64,55.77,8.46,50.79,probability_plus_price,3,3,0,122.86,2025-06:428r/125.93%/+11100; 2025-07:494r/158.04%/+28670; 2025-08:486r/122.86%/+11110
1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,949,224,23.6,94900,134570,39670,141.8,600.76,15.62,80.37,514.64,61.43,7.98,86.12,price_distortion,3,3,0,120.43,2025-06:276r/120.43%/+5640; 2025-07:332r/149.85%/+16550; 2025-08:341r/151.26%/+17480
1-2,lane1_target_exhibition_st_rank_pair,1-2,1819,528,29.03,181900,226540,44640,124.54,429.05,17.46,78.9,451.98,45.64,11.57,-22.93,probability_plus_price,3,3,0,120.16,2025-06:566r/124.45%/+13840; 2025-07:618r/129.13%/+18000; 2025-08:635r/120.16%/+12800
1-3,lane1_target_exhibition_st_rank_pair,1-2,1049,291,27.74,104900,136100,31200,129.74,467.7,15.62,80.37,514.64,49.37,12.12,-46.94,probability_plus_price,3,3,0,119.2,2025-06:312r/119.20%/+5990; 2025-07:360r/120.58%/+7410; 2025-08:377r/147.21%/+17800
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-best | high_other_pressure,656,167,25.46,65600,84310,18710,128.52,504.85,17.46,78.9,451.98,49.62,8.0,52.87,probability_plus_price,3,3,0,112.45,2025-06:188r/149.26%/+9260; 2025-07:249r/112.45%/+3100; 2025-08:219r/129.00%/+6350
1-2,lane1_target_start_gap_pair,best-<=0.03,1552,416,26.8,155200,181600,26400,117.01,436.54,17.46,78.9,451.98,38.11,9.34,-15.44,probability_plus_price,3,3,0,110.88,2025-06:471r/123.82%/+11220; 2025-07:556r/117.03%/+9470; 2025-08:525r/110.88%/+5710
1-2,lane1_target_group_pair x other_a_count_bucket,B-B | 3,549,50,9.11,54900,69650,14750,126.87,1393.0,17.46,78.9,451.98,47.97,-8.35,941.02,price_distortion,3,3,0,109.77,2025-06:190r/137.47%/+7120; 2025-07:174r/109.77%/+1700; 2025-08:185r/132.05%/+5930
1-3,lane1_target_start_gap_pair,best-<=0.03,1257,312,24.82,125700,161710,36010,128.65,518.3,15.62,80.37,514.64,48.28,9.2,3.66,probability_plus_price,3,3,0,108.64,2025-06:367r/108.64%/+3170; 2025-07:437r/130.94%/+13520; 2025-08:453r/142.65%/+19320
1-2,lane1_target_exhibition_st_rank_pair,2-1,678,182,26.84,67800,82610,14810,121.84,453.9,17.46,78.9,451.98,42.94,9.38,1.92,probability_plus_price,3,3,0,107.87,2025-06:197r/107.87%/+1550; 2025-07:257r/116.93%/+4350; 2025-08:224r/139.78%/+8910
1-3,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,2 | 0,1280,320,25.0,128000,148450,20450,115.98,463.91,15.62,80.37,514.64,35.61,9.38,-50.73,probability_plus_price,3,3,0,107.13,2025-06:390r/107.13%/+2780; 2025-07:433r/111.55%/+5000; 2025-08:457r/127.72%/+12670
