logic_id,combo,slice_family,slice_value,train_sample_races,train_hits,train_hit_rate_pct,train_roi_pct,train_roi_lift_pct,train_positive_months,target_bets,target_hits,target_hit_rate_pct,target_return_yen,target_profit_yen,target_roi_pct,target_avg_hit_payout_yen
L01,1-2,lane1_target_exhibition_st_rank_pair,1-2,2006,620,30.91,132.71,49.68,3,655,215,32.82,91670,26170,139.95,426.37
L02,1-2,lane1_target_start_gap_pair,best-<=0.03,1729,508,29.38,126.4,43.37,3,474,146,30.8,63320,15920,133.59,433.7
L03,1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | some_other_pressure,315,119,37.78,138.63,55.6,3,65,23,35.38,8110,1610,124.77,352.61
L04,1-3,lane1_target_exhibition_st_rank_pair,1-3,1566,372,23.75,119.44,43.34,3,478,94,19.67,51350,3550,107.43,546.28
L05,1-2,lane1_target_start_gap_pair,<=0.03-best,981,269,27.42,121.62,38.59,3,324,91,28.09,39430,7030,121.7,433.3
L06,1-3,lane1_target_exhibition_st_rank_pair,1-2,1183,321,27.13,127.95,51.85,3,345,81,23.48,36410,1910,105.54,449.51
L07,1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,1288,326,25.31,122.04,39.01,3,377,110,29.18,51430,13730,136.42,467.55
L08,1-3,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,2 | 0,1381,343,24.84,119.47,43.37,3,416,91,21.88,41240,-360,99.13,453.19
L09,1-3,target_class,B2,475,60,12.63,132.34,56.24,3,131,8,6.11,7910,-5190,60.38,988.75
L10,1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-0.04-0.06 | high_other_pressure,1090,242,22.2,117.98,41.88,3,310,58,18.71,33940,2940,109.48,585.17
