combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen
1-2,overall,all,14069,2683,19.07,1406900,1168080,-238820,83.03,435.36
1-3,overall,all,14069,2166,15.4,1406900,1070720,-336180,76.1,494.33
1-4,overall,all,14069,1464,10.41,1406900,1024790,-382110,72.84,699.99
1-5,overall,all,14069,878,6.24,1406900,1057950,-348950,75.2,1204.95
1-6,overall,all,14069,559,3.97,1406900,999040,-407860,71.01,1787.19
