portfolio_label,bets,unique_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct
raw_with_overlap,1168,656,215,18.41,116800,87250,-29550,74.7
dedup_race_combo,656,656,131,19.97,65600,52920,-12680,80.67
