combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,baseline_hit_rate_pct,baseline_roi_pct,baseline_avg_hit_payout_yen,roi_lift_pct,hit_rate_lift_pct,avg_payout_lift_yen,distortion_type,positive_months,months_with_sample,bad_loss_months,worst_month_roi_pct,monthly_detail
1-2,lane1_target_start_gap_pair,best-best,399,132,33.08,39900,57870,17970,145.04,438.41,19.36,82.35,425.36,62.69,13.72,13.05,probability_plus_price,3,3,0,116.22,2025-02:148r/126.08%/+3860; 2025-03:132r/192.27%/+12180; 2025-04:119r/116.22%/+1930
1-2,lane1_target_exhibition_st_rank_pair,1-2,1845,574,31.11,184500,231850,47350,125.66,403.92,19.36,82.35,425.36,43.31,11.75,-21.44,probability_plus_price,3,3,0,110.79,2025-02:668r/120.04%/+13390; 2025-03:696r/141.34%/+28770; 2025-04:481r/110.79%/+5190
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,1064,304,28.57,106400,134400,28000,126.32,442.11,19.36,82.35,425.36,43.97,9.21,16.75,probability_plus_price,3,3,0,109.63,2025-02:373r/122.33%/+8330; 2025-03:419r/140.69%/+17050; 2025-04:272r/109.63%/+2620
1-2,lane1_target_start_gap_pair,best-<=0.03,1420,434,30.56,142000,172960,30960,121.8,398.53,19.36,82.35,425.36,39.45,11.2,-26.83,probability_plus_price,3,3,0,108.25,2025-02:490r/119.90%/+9750; 2025-03:548r/132.96%/+18060; 2025-04:382r/108.25%/+3150
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-<=0.03 | high_other_pressure,651,149,22.89,65100,72700,7600,111.67,487.92,19.36,82.35,425.36,29.32,3.53,62.56,mixed_edge,3,3,0,106.11,2025-02:226r/106.11%/+1380; 2025-03:227r/114.80%/+3360; 2025-04:198r/114.44%/+2860
