combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen
1-2,overall,all,13073,2531,19.36,1307300,1076590,-230710,82.35,425.36
1-3,overall,all,13073,2065,15.8,1307300,1036190,-271110,79.26,501.79
1-4,overall,all,13073,1377,10.53,1307300,1012090,-295210,77.42,735.0
1-5,overall,all,13073,816,6.24,1307300,938370,-368930,71.78,1149.96
1-6,overall,all,13073,506,3.87,1307300,893950,-413350,68.38,1766.7
