portfolio_label,bets,unique_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct
raw_with_overlap,2260,1374,470,20.8,226000,197330,-28670,87.31
dedup_race_combo,1738,1374,359,20.66,173800,148340,-25460,85.35
