combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen
1-2,overall,all,13852,2699,19.48,1385200,1151300,-233900,83.11,426.57
1-3,overall,all,13852,2142,15.46,1385200,1070340,-314860,77.27,499.69
1-4,overall,all,13852,1451,10.48,1385200,1050270,-334930,75.82,723.82
1-5,overall,all,13852,881,6.36,1385200,1045120,-340080,75.45,1186.29
1-6,overall,all,13852,552,3.98,1385200,1011660,-373540,73.03,1832.72
