combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,baseline_hit_rate_pct,baseline_roi_pct,baseline_avg_hit_payout_yen,roi_lift_pct,hit_rate_lift_pct,avg_payout_lift_yen,distortion_type
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-0.04-0.06 | low_other_pressure,43,9,20.93,4300,9650,5350,224.42,1072.22,3.77,72.04,1909.69,152.38,17.16,-837.47,probability_plus_price
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-best | low_other_pressure,44,10,22.73,4400,9250,4850,210.23,925.0,3.77,72.04,1909.69,138.19,18.96,-984.69,probability_plus_price
1-6,lane1_target_group_pair x target_outer_pressure_bucket,B-B | some_other_pressure,125,7,5.6,12500,25080,12580,200.64,3582.86,3.77,72.04,1909.69,128.6,1.83,1673.17,price_distortion
1-6,lane1_target_exhibition_st_rank_pair,2-3,278,16,5.76,27800,53120,25320,191.08,3320.0,3.77,72.04,1909.69,119.04,1.99,1410.31,price_distortion
1-6,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,2 | 3,278,16,5.76,27800,53120,25320,191.08,3320.0,3.77,72.04,1909.69,119.04,1.99,1410.31,price_distortion
1-4,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,target_faster_0.10+ | lane1_faster_0.03_0.06,85,12,14.12,8500,15880,7380,186.82,1323.33,10.76,80.23,745.87,106.59,3.36,577.46,price_distortion
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-0.04-0.06 | high_other_pressure,364,17,4.67,36400,67480,31080,185.38,3969.41,3.77,72.04,1909.69,113.34,0.9,2059.72,price_distortion
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03->0.06 | some_other_pressure,121,9,7.44,12100,20930,8830,172.98,2325.56,3.77,72.04,1909.69,100.94,3.67,415.87,price_distortion
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-best | some_other_pressure,64,9,14.06,6400,10770,4370,168.28,1196.67,3.77,72.04,1909.69,96.24,10.29,-713.02,probability_plus_price
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-<=0.03 | high_other_pressure,361,17,4.71,36100,60100,24000,166.48,3535.29,3.77,72.04,1909.69,94.44,0.94,1625.6,price_distortion
1-3,lane1_target_group_pair x other_a_count_bucket,B-B | 4,39,2,5.13,3900,6280,2380,161.03,3140.0,15.44,77.73,503.5,83.3,-10.31,2636.5,price_distortion
1-6,lane1_target_start_gap_pair,0.04-0.06-0.04-0.06,434,19,4.38,43400,68510,25110,157.86,3605.79,3.77,72.04,1909.69,85.82,0.61,1696.1,price_distortion
1-6,target_lane x lane1_target_start_gap_pair,6 | 0.04-0.06-0.04-0.06,434,19,4.38,43400,68510,25110,157.86,3605.79,3.77,72.04,1909.69,85.82,0.61,1696.1,price_distortion
1-6,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,0.04-0.06 | 0.04-0.06,434,19,4.38,43400,68510,25110,157.86,3605.79,3.77,72.04,1909.69,85.82,0.61,1696.1,price_distortion
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-best | some_other_pressure,68,4,5.88,6800,10730,3930,157.79,2682.5,3.77,72.04,1909.69,85.75,2.11,772.81,price_distortion
1-6,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,target_faster_0.10+ | target_faster_0.03_0.06,64,6,9.38,6400,9940,3540,155.31,1656.67,3.77,72.04,1909.69,83.27,5.61,-253.02,probability_plus_price
1-6,lane1_target_start_gap_pair,0.04-0.06-<=0.03,440,28,6.36,44000,68030,24030,154.61,2429.64,3.77,72.04,1909.69,82.57,2.59,519.95,price_distortion
1-6,target_lane x lane1_target_start_gap_pair,6 | 0.04-0.06-<=0.03,440,28,6.36,44000,68030,24030,154.61,2429.64,3.77,72.04,1909.69,82.57,2.59,519.95,price_distortion
1-6,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,0.04-0.06 | <=0.03,440,28,6.36,44000,68030,24030,154.61,2429.64,3.77,72.04,1909.69,82.57,2.59,519.95,price_distortion
1-4,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,4+ | 1,314,56,17.83,31400,47560,16160,151.46,849.29,10.76,80.23,745.87,71.23,7.07,103.42,price_distortion
1-6,lane1_target_class_pair,B2-B1,151,6,3.97,15100,22300,7200,147.68,3716.67,3.77,72.04,1909.69,75.64,0.2,1806.98,price_distortion
1-6,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,target_faster_0.05_0.10 | near_equal,370,22,5.95,37000,54090,17090,146.19,2458.64,3.77,72.04,1909.69,74.15,2.18,548.95,price_distortion
1-6,lane1_target_exhibition_st_rank_pair,3-1,325,20,6.15,32500,47440,14940,145.97,2372.0,3.77,72.04,1909.69,73.93,2.38,462.31,price_distortion
1-6,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,3 | 1,325,20,6.15,32500,47440,14940,145.97,2372.0,3.77,72.04,1909.69,73.93,2.38,462.31,price_distortion
1-4,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | low_other_pressure,45,15,33.33,4500,6520,2020,144.89,434.67,10.76,80.23,745.87,64.66,22.57,-311.2,probability_plus_price
1-6,target_exhibition_rank_bucket x other_exhibition_faster_than_target_count_bucket,3 | 0,303,15,4.95,30300,43390,13090,143.2,2892.67,3.77,72.04,1909.69,71.16,1.18,982.98,price_distortion
1-6,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,target_faster_0.10+ | target_faster_0.06+,141,9,6.38,14100,20110,6010,142.62,2234.44,3.77,72.04,1909.69,70.58,2.61,324.75,price_distortion
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-best | high_other_pressure,272,78,28.68,27200,37400,10200,137.5,479.49,19.02,81.75,429.79,55.75,9.66,49.7,probability_plus_price
1-4,lane1_target_group_pair x other_a_count_bucket,B-A | 3,172,17,9.88,17200,23540,6340,136.86,1384.71,10.76,80.23,745.87,56.63,-0.88,638.84,price_distortion
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,520,27,5.19,52000,69990,17990,134.6,2592.22,3.77,72.04,1909.69,62.56,1.42,682.53,price_distortion
1-4,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-best | high_other_pressure,510,76,14.9,51000,68260,17260,133.84,898.16,10.76,80.23,745.87,53.61,4.14,152.29,price_distortion
1-2,lane1_target_start_gap_pair,best-best,354,107,30.23,35400,46920,11520,132.54,438.5,19.02,81.75,429.79,50.79,11.21,8.71,probability_plus_price
1-2,target_lane x lane1_target_start_gap_pair,2 | best-best,354,107,30.23,35400,46920,11520,132.54,438.5,19.02,81.75,429.79,50.79,11.21,8.71,probability_plus_price
1-2,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,best | best,354,107,30.23,35400,46920,11520,132.54,438.5,19.02,81.75,429.79,50.79,11.21,8.71,probability_plus_price
1-6,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,lane1_faster_0.10+ | target_faster_0.06+,339,14,4.13,33900,44760,10860,132.04,3197.14,3.77,72.04,1909.69,60.0,0.36,1287.45,price_distortion
1-6,lane1_target_start_gap_pair,0.04-0.06-best,516,38,7.36,51600,67990,16390,131.76,1789.21,3.77,72.04,1909.69,59.72,3.59,-120.48,mixed_edge
1-6,target_lane x lane1_target_start_gap_pair,6 | 0.04-0.06-best,516,38,7.36,51600,67990,16390,131.76,1789.21,3.77,72.04,1909.69,59.72,3.59,-120.48,mixed_edge
1-6,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,0.04-0.06 | best,516,38,7.36,51600,67990,16390,131.76,1789.21,3.77,72.04,1909.69,59.72,3.59,-120.48,mixed_edge
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-<=0.03 | low_other_pressure,57,23,40.35,5700,7500,1800,131.58,326.09,19.02,81.75,429.79,49.83,21.33,-103.7,probability_plus_price
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06->0.06 | low_other_pressure,48,7,14.58,4800,6280,1480,130.83,897.14,3.77,72.04,1909.69,58.79,10.81,-1012.55,probability_plus_price
