race_id,race_date,bet_amount,payout,profit,cumulative_profit,drawdown,profit_100yen,cumulative_profit_100yen,logic,variant,source_note
202602090302,2026-02-09,100,0,-100,25710,-220,-100.0,25710.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202602100303,2026-02-10,100,0,-100,25610,-320,-100.0,25610.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202602112107,2026-02-11,100,0,-100,25510,-420,-100.0,25510.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202602120302,2026-02-12,100,0,-100,25410,-520,-100.0,25410.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202602152110,2026-02-15,100,0,-100,25310,-620,-100.0,25310.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202602162107,2026-02-16,100,0,-100,25210,-720,-100.0,25210.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202602231201,2026-02-23,100,0,-100,25110,-820,-100.0,25110.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202602232107,2026-02-23,100,0,-100,25010,-920,-100.0,25010.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202602252107,2026-02-25,100,0,-100,24910,-1020,-100.0,24910.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202602281207,2026-02-28,100,0,-100,24810,-1120,-100.0,24810.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202603070306,2026-03-07,100,3450,3350,28160,0,3350.0,28160.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202603070307,2026-03-07,100,0,-100,28060,-100,-100.0,28060.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202504010101,2025-04-01,1200,0,-1200,-1200,0,-100.0,-100.0,c2_provisional_v1,walkforward_pred1_non_lane1_overlay,"current-ish C2 proxy with B2 cut, final-day cut, and racer-index pred1!=lane1 overlay"
202504050112,2025-04-05,2400,0,-2400,-3600,-2400,-100.0,-200.0,c2_provisional_v1,walkforward_pred1_non_lane1_overlay,"current-ish C2 proxy with B2 cut, final-day cut, and racer-index pred1!=lane1 overlay"
