combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen
1-2,overall,all,13154,2544,19.34,1315400,1058510,-256890,80.47,416.08
1-3,overall,all,13154,2071,15.74,1315400,1043880,-271520,79.36,504.05
1-4,overall,all,13154,1329,10.1,1315400,980560,-334840,74.54,737.82
1-5,overall,all,13154,881,6.7,1315400,1043100,-272300,79.3,1184.0
1-6,overall,all,13154,457,3.47,1315400,823410,-491990,62.6,1801.77
