combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,baseline_hit_rate_pct,baseline_roi_pct,baseline_avg_hit_payout_yen,roi_lift_pct,hit_rate_lift_pct,avg_payout_lift_yen,distortion_type,positive_months,months_with_sample
1-6,lane1_target_exhibition_st_rank_pair,2-1,366,39,10.66,36600,58960,22360,161.09,1511.79,4.05,73.3,1810.13,87.79,6.61,-298.34,probability_plus_price,4,4
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-best | high_other_pressure,452,25,5.53,45200,71160,25960,157.43,2846.4,4.05,73.3,1810.13,84.13,1.48,1036.27,price_distortion,4,4
1-6,lane1_target_start_gap_pair,0.04-0.06-best,580,43,7.41,58000,90320,32320,155.72,2100.47,4.05,73.3,1810.13,82.42,3.36,290.34,price_distortion,4,4
1-4,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,813,131,16.11,81300,120760,39460,148.54,921.83,10.14,74.17,731.46,74.37,5.97,190.37,price_distortion,4,4
1-4,lane1_target_start_gap_pair,best-<=0.03,1022,180,17.61,102200,144470,42270,141.36,802.61,10.14,74.17,731.46,67.19,7.47,71.15,probability_plus_price,4,4
1-2,lane1_target_start_gap_pair,best-best,410,127,30.98,41000,53900,12900,131.46,424.41,18.61,79.76,428.68,51.7,12.37,-4.27,probability_plus_price,4,4
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | some_other_pressure,333,130,39.04,33300,43610,10310,130.96,335.46,18.61,79.76,428.68,51.2,20.43,-93.22,probability_plus_price,4,4
1-2,lane1_target_exhibition_st_rank_pair,1-2,2116,626,29.58,211600,259360,47760,122.57,414.31,18.61,79.76,428.68,42.81,10.97,-14.37,probability_plus_price,4,4
1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-0.04-0.06 | high_other_pressure,1147,237,20.66,114700,134800,20100,117.52,568.78,15.86,79.54,501.69,37.98,4.8,67.09,mixed_edge,4,4
1-3,lane1_target_start_gap_pair,best-0.04-0.06,1447,326,22.53,144700,165660,20960,114.49,508.16,15.86,79.54,501.69,34.95,6.67,6.47,probability_plus_price,4,4
1-6,lane1_target_exhibition_st_rank_pair,3-1,332,29,8.73,33200,53420,20220,160.9,1842.07,4.05,73.3,1810.13,87.6,4.68,31.94,mixed_edge,3,4
1-5,lane1_target_start_gap_pair,<=0.03-best,683,86,12.59,68300,100920,32620,147.76,1173.49,6.7,75.78,1131.51,71.98,5.89,41.98,probability_plus_price,3,4
