combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen
1-2,overall,all,15484,2881,18.61,1548400,1235030,-313370,79.76,428.68
1-3,overall,all,15484,2455,15.86,1548400,1231650,-316750,79.54,501.69
1-4,overall,all,15484,1570,10.14,1548400,1148400,-400000,74.17,731.46
1-5,overall,all,15484,1037,6.7,1548400,1173380,-375020,75.78,1131.51
1-6,overall,all,15484,627,4.05,1548400,1134950,-413450,73.3,1810.13
