logic_id,combo,slice_family,slice_value,train_sample_races,train_hits,train_hit_rate_pct,train_roi_pct,train_roi_lift_pct,train_positive_months,target_bets,target_hits,target_hit_rate_pct,target_return_yen,target_profit_yen,target_roi_pct,target_avg_hit_payout_yen
L01,1-6,lane1_target_exhibition_st_rank_pair,2-1,366,39,10.66,161.09,87.79,4,133,5,3.76,5340,-7960,40.15,1068.0
L02,1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-best | high_other_pressure,452,25,5.53,157.43,84.13,4,160,3,1.88,3490,-12510,21.81,1163.33
L03,1-6,lane1_target_start_gap_pair,0.04-0.06-best,580,43,7.41,155.72,82.42,4,209,9,4.31,9210,-11690,44.07,1023.33
L04,1-4,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,813,131,16.11,148.54,74.37,4,213,20,9.39,16020,-5280,75.21,801.0
L05,1-4,lane1_target_start_gap_pair,best-<=0.03,1022,180,17.61,141.36,67.19,4,259,29,11.2,20300,-5600,78.38,700.0
L06,1-2,lane1_target_start_gap_pair,best-best,410,127,30.98,131.46,51.7,4,123,30,24.39,10020,-2280,81.46,334.0
L07,1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | some_other_pressure,333,130,39.04,130.96,51.2,4,58,16,27.59,4740,-1060,81.72,296.25
L08,1-2,lane1_target_exhibition_st_rank_pair,1-2,2116,626,29.58,122.57,42.81,4,337,67,19.88,25290,-8410,75.04,377.46
L09,1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-0.04-0.06 | high_other_pressure,1147,237,20.66,117.52,37.98,4,164,16,9.76,8940,-7460,54.51,558.75
L10,1-3,lane1_target_start_gap_pair,best-0.04-0.06,1447,326,22.53,114.49,34.95,4,195,23,11.79,11330,-8170,58.1,492.61
L11,1-6,lane1_target_exhibition_st_rank_pair,3-1,332,29,8.73,160.9,87.6,3,111,4,3.6,7360,-3740,66.31,1840.0
L12,1-5,lane1_target_start_gap_pair,<=0.03-best,683,86,12.59,147.76,71.98,3,198,13,6.57,14170,-5630,71.57,1090.0
