combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,baseline_hit_rate_pct,baseline_roi_pct,baseline_avg_hit_payout_yen,roi_lift_pct,hit_rate_lift_pct,avg_payout_lift_yen,distortion_type
1-6,target_exhibition_rank_bucket x other_exhibition_faster_than_target_count_bucket,4+ | 0,45,2,4.44,4500,11880,7380,264.0,5940.0,3.81,66.41,1742.37,197.59,0.63,4197.63,price_distortion
1-6,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,target_faster_0.05_0.10 | lane1_faster_0.03_0.06,191,19,9.95,19100,44980,25880,235.5,2367.37,3.81,66.41,1742.37,169.09,6.14,625.0,price_distortion
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-0.04-0.06 | some_other_pressure,61,10,16.39,6100,13410,7310,219.84,1341.0,3.81,66.41,1742.37,153.43,12.58,-401.37,probability_plus_price
1-6,lane1_target_class_pair,B2-A2,61,2,3.28,6100,13240,7140,217.05,6620.0,3.81,66.41,1742.37,150.64,-0.53,4877.63,price_distortion
1-6,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,lane1_faster_0.10+ | target_faster_0.03_0.06,190,6,3.16,19000,39410,20410,207.42,6568.33,3.81,66.41,1742.37,141.01,-0.65,4825.96,price_distortion
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | low_other_pressure,38,7,18.42,3800,7240,3440,190.53,1034.29,3.81,66.41,1742.37,124.12,14.61,-708.08,probability_plus_price
1-4,stadium_code,16,120,19,15.83,12000,21910,9910,182.58,1153.16,10.4,76.66,736.85,105.92,5.43,416.31,price_distortion
1-4,stadium_code x target_lane,16 | 4,120,19,15.83,12000,21910,9910,182.58,1153.16,10.4,76.66,736.85,105.92,5.43,416.31,price_distortion
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-best | some_other_pressure,56,8,14.29,5600,10190,4590,181.96,1273.75,3.81,66.41,1742.37,115.55,10.48,-468.62,probability_plus_price
1-5,lane1_target_class_pair,B2-B1,151,9,5.96,15100,26360,11260,174.57,2928.89,6.42,77.85,1212.52,96.72,-0.46,1716.37,price_distortion
1-6,target_class_group x target_outer_pressure_bucket,B | low_other_pressure,51,8,15.69,5100,8480,3380,166.27,1060.0,3.81,66.41,1742.37,99.86,11.88,-682.37,probability_plus_price
1-4,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-best | high_other_pressure,131,30,22.9,13100,21210,8110,161.91,707.0,10.4,76.66,736.85,85.25,12.5,-29.85,probability_plus_price
1-6,lane1_target_exhibition_st_rank_pair,1-2,304,33,10.86,30400,49070,18670,161.41,1486.97,3.81,66.41,1742.37,95.0,7.05,-255.4,probability_plus_price
1-6,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 2,304,33,10.86,30400,49070,18670,161.41,1486.97,3.81,66.41,1742.37,95.0,7.05,-255.4,probability_plus_price
1-6,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,4+ | 0,60,4,6.67,6000,9440,3440,157.33,2360.0,3.81,66.41,1742.37,90.92,2.86,617.63,price_distortion
1-6,lane1_target_start_gap_pair,<=0.03-best,452,41,9.07,45200,70670,25470,156.35,1723.66,3.81,66.41,1742.37,89.94,5.26,-18.71,probability_plus_price
1-6,target_lane x lane1_target_start_gap_pair,6 | <=0.03-best,452,41,9.07,45200,70670,25470,156.35,1723.66,3.81,66.41,1742.37,89.94,5.26,-18.71,probability_plus_price
1-6,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,<=0.03 | best,452,41,9.07,45200,70670,25470,156.35,1723.66,3.81,66.41,1742.37,89.94,5.26,-18.71,probability_plus_price
1-4,lane1_target_class_pair,B2-B1,148,11,7.43,14800,23030,8230,155.61,2093.64,10.4,76.66,736.85,78.95,-2.97,1356.79,price_distortion
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-best | some_other_pressure,60,23,38.33,6000,9310,3310,155.17,404.78,18.16,79.77,439.16,75.4,20.17,-34.38,probability_plus_price
1-4,lane1_target_start_gap_pair,best-best,169,42,24.85,16900,25960,9060,153.61,618.1,10.4,76.66,736.85,76.95,14.45,-118.75,probability_plus_price
1-4,target_lane x lane1_target_start_gap_pair,4 | best-best,169,42,24.85,16900,25960,9060,153.61,618.1,10.4,76.66,736.85,76.95,14.45,-118.75,probability_plus_price
1-4,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,best | best,169,42,24.85,16900,25960,9060,153.61,618.1,10.4,76.66,736.85,76.95,14.45,-118.75,probability_plus_price
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-best | high_other_pressure,353,24,6.8,35300,54220,18920,153.6,2259.17,3.81,66.41,1742.37,87.19,2.99,516.8,price_distortion
1-2,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,target_faster_0.10+ | lane1_faster_0.03_0.06,112,31,27.68,11200,17010,5810,151.88,548.71,18.16,79.77,439.16,72.11,9.52,109.55,price_distortion
1-6,lane1_target_exhibition_st_rank_pair,2-1,297,27,9.09,29700,44700,15000,150.51,1655.56,3.81,66.41,1742.37,84.1,5.28,-86.81,probability_plus_price
1-6,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,2 | 1,297,27,9.09,29700,44700,15000,150.51,1655.56,3.81,66.41,1742.37,84.1,5.28,-86.81,probability_plus_price
1-4,lane1_target_group_pair x target_outer_pressure_bucket,B-B | low_other_pressure,33,6,18.18,3300,4920,1620,149.09,820.0,10.4,76.66,736.85,72.43,7.78,83.15,price_distortion
1-5,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,lane1_faster_0.05_0.10 | near_equal,680,56,8.24,68000,99810,31810,146.78,1782.32,6.42,77.85,1212.52,68.93,1.82,569.8,price_distortion
