portfolio_label,bets,unique_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct
raw_with_overlap,5336,1996,1273,23.86,533600,578850,45250,108.48
dedup_race_combo,2943,1996,684,23.24,294300,310560,16260,105.52
