combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen
1-2,overall,all,12304,2235,18.16,1230400,981530,-248870,79.77,439.16
1-3,overall,all,12304,1916,15.57,1230400,957670,-272730,77.83,499.83
1-4,overall,all,12304,1280,10.4,1230400,943170,-287230,76.66,736.85
1-5,overall,all,12304,790,6.42,1230400,957890,-272510,77.85,1212.52
1-6,overall,all,12304,469,3.81,1230400,817170,-413230,66.41,1742.37
