logic_id,combo,slice_family,slice_value,train_sample_races,train_hits,train_hit_rate_pct,train_roi_pct,train_roi_lift_pct,train_positive_months,target_bets,target_hits,target_hit_rate_pct,target_return_yen,target_profit_yen,target_roi_pct,target_avg_hit_payout_yen
L01,1-2,lane1_target_start_gap_pair,best-best,324,101,31.17,130.74,51.99,3,105,34,32.38,14480,3980,137.9,425.88
L02,1-2,lane1_target_exhibition_st_rank_pair,1-2,1816,535,29.46,124.54,45.79,3,591,196,33.16,86390,27290,146.18,440.77
L03,1-3,lane1_target_exhibition_st_rank_pair,1-3,1408,330,23.44,121.55,45.1,3,483,114,23.6,65260,16960,135.11,572.46
L04,1-2,lane1_target_exhibition_st_rank_pair,1-3,948,228,24.05,113.49,34.74,3,293,79,26.96,37330,8030,127.41,472.53
L05,1-3,lane1_target_exhibition_st_rank_pair,1-2,1081,294,27.2,125.06,48.61,3,311,94,30.23,42410,11310,136.37,451.17
L06,1-2,lane1_target_start_gap_pair,best-<=0.03,1510,399,26.42,113.23,34.48,3,490,159,32.45,73130,24130,149.24,459.94
L07,1-3,lane1_target_exhibition_st_rank_pair,3-1,424,97,22.88,118.37,41.92,3,139,25,17.99,11920,-1980,85.76,476.8
L08,1-3,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,lane1_faster_0.10+ | lane1_faster_0.03_0.06,306,63,20.59,117.91,41.46,3,101,15,14.85,7190,-2910,71.19,479.33
L09,1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,1100,256,23.27,109.91,31.16,3,352,98,27.84,54620,19420,155.17,557.35
L10,1-3,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,2 | 0,1303,320,24.56,111.66,35.21,3,370,106,28.65,49240,12240,133.08,464.53
