combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,baseline_hit_rate_pct,baseline_roi_pct,baseline_avg_hit_payout_yen,roi_lift_pct,hit_rate_lift_pct,avg_payout_lift_yen,distortion_type
1-2,lane1_local_win_rank_bucket,1,3198,723,22.61,319800,248610,-71190,77.74,343.86,17.68,78.75,445.55,-1.01,4.93,-101.69,mixed_edge
1-3,lane1_exhibition_rank_bucket,4+,3872,516,13.33,387200,300860,-86340,77.7,583.06,15.42,76.45,495.64,1.25,-2.09,87.42,mixed_edge
1-4,target_exhibition_st_rank_bucket,1,2197,241,10.97,219700,170690,-49010,77.69,708.26,10.2,75.25,737.84,2.44,0.77,-29.58,mixed_edge
1-4,target_lane x target_exhibition_st_rank_bucket,4 | 1,2197,241,10.97,219700,170690,-49010,77.69,708.26,10.2,75.25,737.84,2.44,0.77,-29.58,mixed_edge
1-4,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,1 | 0,2197,241,10.97,219700,170690,-49010,77.69,708.26,10.2,75.25,737.84,2.44,0.77,-29.58,mixed_edge
1-4,lane1_target_exhibition_time_diff_bucket,near_equal,6437,692,10.75,643700,499990,-143710,77.67,722.53,10.2,75.25,737.84,2.42,0.55,-15.31,mixed_edge
1-2,lane1_exhibition_st_rank_bucket,3,1845,298,16.15,184500,143290,-41210,77.66,480.84,17.68,78.75,445.55,-1.09,-1.53,35.29,mixed_edge
1-3,other_group_pattern,A-B-B-B,661,99,14.98,66100,51320,-14780,77.64,518.38,15.42,76.45,495.64,1.19,-0.44,22.74,mixed_edge
1-2,target_national_win_rank_bucket,3,2472,474,19.17,247200,191880,-55320,77.62,404.81,17.68,78.75,445.55,-1.13,1.49,-40.74,mixed_edge
1-4,lane1_target_group_pair x other_a_count_bucket,A-A | 4,1460,188,12.88,146000,113330,-32670,77.62,602.82,10.2,75.25,737.84,2.37,2.68,-135.02,mixed_edge
1-2,wind_bucket,3-4,4952,837,16.9,495200,384140,-111060,77.57,458.95,17.68,78.75,445.55,-1.18,-0.78,13.4,mixed_edge
1-2,lane1_target_national_rank_pair x target_outer_pressure_bucket,2-1 | high_other_pressure,236,70,29.66,23600,18300,-5300,77.54,261.43,17.68,78.75,445.55,-1.21,11.98,-184.12,mixed_edge
1-6,lane1_start_exhibition_gap_bucket,<=0.03,3060,128,4.18,306000,237210,-68790,77.52,1853.2,3.94,69.07,1754.72,8.45,0.24,98.48,mixed_edge
1-5,lane1_target_national_rank_pair x target_outer_pressure_bucket,2-3 | some_other_pressure,197,17,8.63,19700,15270,-4430,77.51,898.24,6.4,77.77,1215.84,-0.26,2.23,-317.6,mixed_edge
1-2,stadium_code,12,671,119,17.73,67100,52000,-15100,77.5,436.97,17.68,78.75,445.55,-1.25,0.05,-8.58,mixed_edge
1-2,stadium_code x target_lane,12 | 2,671,119,17.73,67100,52000,-15100,77.5,436.97,17.68,78.75,445.55,-1.25,0.05,-8.58,mixed_edge
1-5,other_a_count_bucket,2,4397,249,5.66,439700,340680,-99020,77.48,1368.19,6.4,77.77,1215.84,-0.29,-0.74,152.35,mixed_edge
1-5,target_lane x other_a_count_bucket,5 | 2,4397,249,5.66,439700,340680,-99020,77.48,1368.19,6.4,77.77,1215.84,-0.29,-0.74,152.35,mixed_edge
1-2,lane1_target_group_pair x other_a_count_bucket,B-A | 3,325,31,9.54,32500,25180,-7320,77.48,812.26,17.68,78.75,445.55,-1.27,-8.14,366.71,mixed_edge
1-4,lane1_national_win_rank_bucket,1,3364,479,14.24,336400,260610,-75790,77.47,544.07,10.2,75.25,737.84,2.22,4.04,-193.77,mixed_edge
1-3,lane1_target_group_pair x other_a_count_bucket,A-A | 0,300,99,33.0,30000,23240,-6760,77.47,234.75,15.42,76.45,495.64,1.02,17.58,-260.89,mixed_edge
1-4,other_exhibition_faster_than_target_count_bucket,0,3073,376,12.24,307300,238000,-69300,77.45,632.98,10.2,75.25,737.84,2.2,2.04,-104.86,mixed_edge
1-3,other_group_pattern,B-A-B-A,745,102,13.69,74500,57700,-16800,77.45,565.69,15.42,76.45,495.64,1.0,-1.73,70.05,mixed_edge
1-4,lane1_exhibition_st_rank_bucket,2,2263,245,10.83,226300,175240,-51060,77.44,715.27,10.2,75.25,737.84,2.19,0.63,-22.57,mixed_edge
1-4,lane1_target_class_pair,B1-A2,1210,100,8.26,121000,93700,-27300,77.44,937.0,10.2,75.25,737.84,2.19,-1.94,199.16,mixed_edge
1-3,lane1_target_group_pair x target_outer_pressure_bucket,A-B | high_other_pressure,3513,485,13.81,351300,271980,-79320,77.42,560.78,15.42,76.45,495.64,0.97,-1.61,65.14,mixed_edge
1-2,other_national_better_than_target_count_bucket,2,2929,475,16.22,292900,226730,-66170,77.41,477.33,17.68,78.75,445.55,-1.34,-1.46,31.78,mixed_edge
1-3,lane1_target_boat_place_diff_bucket,target_plus_4_10,2323,368,15.84,232300,179780,-52520,77.39,488.53,15.42,76.45,495.64,0.94,0.42,-7.11,mixed_edge
1-3,lane1_exhibition_rank_bucket,3,2234,346,15.49,223400,172880,-50520,77.39,499.65,15.42,76.45,495.64,0.94,0.07,4.01,mixed_edge
1-2,lane1_target_national_rank_pair,2-1,515,157,30.49,51500,39850,-11650,77.38,253.82,17.68,78.75,445.55,-1.37,12.81,-191.73,mixed_edge
1-2,target_lane x lane1_target_national_rank_pair,2 | 2-1,515,157,30.49,51500,39850,-11650,77.38,253.82,17.68,78.75,445.55,-1.37,12.81,-191.73,mixed_edge
1-5,lane1_class_group,A,8238,609,7.39,823800,637370,-186430,77.37,1046.58,6.4,77.77,1215.84,-0.4,0.99,-169.26,mixed_edge
1-3,target_exhibition_rank_bucket,4+,6874,1001,14.56,687400,531850,-155550,77.37,531.32,15.42,76.45,495.64,0.92,-0.86,35.68,mixed_edge
