combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,baseline_hit_rate_pct,baseline_roi_pct,baseline_avg_hit_payout_yen,roi_lift_pct,hit_rate_lift_pct,avg_payout_lift_yen,distortion_type,positive_months,months_with_sample,bad_loss_months,worst_month_roi_pct,monthly_detail
1-2,lane1_target_start_gap_pair,best-best,324,101,31.17,32400,42360,9960,130.74,419.41,17.68,78.75,445.55,51.99,13.49,-26.14,probability_plus_price,3,3,0,124.23,2025-08:111r/124.23%/+2690; 2025-09:123r/136.91%/+4540; 2025-10:90r/130.33%/+2730
1-2,target_lane x lane1_target_start_gap_pair,2 | best-best,324,101,31.17,32400,42360,9960,130.74,419.41,17.68,78.75,445.55,51.99,13.49,-26.14,probability_plus_price,3,3,0,124.23,2025-08:111r/124.23%/+2690; 2025-09:123r/136.91%/+4540; 2025-10:90r/130.33%/+2730
1-2,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,best | best,324,101,31.17,32400,42360,9960,130.74,419.41,17.68,78.75,445.55,51.99,13.49,-26.14,probability_plus_price,3,3,0,124.23,2025-08:111r/124.23%/+2690; 2025-09:123r/136.91%/+4540; 2025-10:90r/130.33%/+2730
1-2,lane1_target_exhibition_st_rank_pair,1-2,1816,535,29.46,181600,226170,44570,124.54,422.75,17.68,78.75,445.55,45.79,11.78,-22.8,probability_plus_price,3,3,0,120.0,2025-08:635r/120.16%/+12800; 2025-09:594r/120.00%/+11880; 2025-10:587r/133.88%/+19890
1-2,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 2,1816,535,29.46,181600,226170,44570,124.54,422.75,17.68,78.75,445.55,45.79,11.78,-22.8,probability_plus_price,3,3,0,120.0,2025-08:635r/120.16%/+12800; 2025-09:594r/120.00%/+11880; 2025-10:587r/133.88%/+19890
1-2,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,2 | 0,1816,535,29.46,181600,226170,44570,124.54,422.75,17.68,78.75,445.55,45.79,11.78,-22.8,probability_plus_price,3,3,0,120.0,2025-08:635r/120.16%/+12800; 2025-09:594r/120.00%/+11880; 2025-10:587r/133.88%/+19890
1-3,lane1_target_exhibition_st_rank_pair,1-3,1408,330,23.44,140800,171140,30340,121.55,518.61,15.42,76.45,495.64,45.1,8.02,22.97,probability_plus_price,3,3,0,118.06,2025-08:486r/122.86%/+11110; 2025-09:448r/123.82%/+10670; 2025-10:474r/118.06%/+8560
1-3,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 3,1408,330,23.44,140800,171140,30340,121.55,518.61,15.42,76.45,495.64,45.1,8.02,22.97,probability_plus_price,3,3,0,118.06,2025-08:486r/122.86%/+11110; 2025-09:448r/123.82%/+10670; 2025-10:474r/118.06%/+8560
1-2,lane1_target_exhibition_st_rank_pair,1-3,948,228,24.05,94800,107590,12790,113.49,471.89,17.68,78.75,445.55,34.74,6.37,26.34,probability_plus_price,3,3,0,109.47,2025-08:339r/109.47%/+3210; 2025-09:299r/115.05%/+4500; 2025-10:310r/116.39%/+5080
1-2,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 3,948,228,24.05,94800,107590,12790,113.49,471.89,17.68,78.75,445.55,34.74,6.37,26.34,probability_plus_price,3,3,0,109.47,2025-08:339r/109.47%/+3210; 2025-09:299r/115.05%/+4500; 2025-10:310r/116.39%/+5080
1-3,lane1_target_exhibition_st_rank_pair,1-2,1081,294,27.2,108100,135190,27090,125.06,459.83,15.42,76.45,495.64,48.61,11.78,-35.81,probability_plus_price,3,3,0,109.09,2025-08:377r/147.21%/+17800; 2025-09:353r/109.09%/+3210; 2025-10:351r/117.32%/+6080
1-3,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 2,1081,294,27.2,108100,135190,27090,125.06,459.83,15.42,76.45,495.64,48.61,11.78,-35.81,probability_plus_price,3,3,0,109.09,2025-08:377r/147.21%/+17800; 2025-09:353r/109.09%/+3210; 2025-10:351r/117.32%/+6080
1-2,lane1_target_start_gap_pair,best-<=0.03,1510,399,26.42,151000,170970,19970,113.23,428.5,17.68,78.75,445.55,34.48,8.74,-17.05,probability_plus_price,3,3,0,107.31,2025-08:525r/110.88%/+5710; 2025-09:487r/121.81%/+10620; 2025-10:498r/107.31%/+3640
1-2,target_lane x lane1_target_start_gap_pair,2 | best-<=0.03,1510,399,26.42,151000,170970,19970,113.23,428.5,17.68,78.75,445.55,34.48,8.74,-17.05,probability_plus_price,3,3,0,107.31,2025-08:525r/110.88%/+5710; 2025-09:487r/121.81%/+10620; 2025-10:498r/107.31%/+3640
1-2,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,best | <=0.03,1510,399,26.42,151000,170970,19970,113.23,428.5,17.68,78.75,445.55,34.48,8.74,-17.05,probability_plus_price,3,3,0,107.31,2025-08:525r/110.88%/+5710; 2025-09:487r/121.81%/+10620; 2025-10:498r/107.31%/+3640
