portfolio_label,bets,unique_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct
raw_with_overlap,3235,1378,920,28.44,323500,441970,118470,136.62
dedup_race_combo,1978,1378,536,27.1,197800,258340,60540,130.61
