portfolio_label,bets,unique_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct
raw_with_overlap,2261,872,420,18.58,226100,195090,-31010,86.28
dedup_race_combo,1108,872,210,18.95,110800,95110,-15690,85.84
