logic_id,combo,slice_family,slice_value,train_sample_races,train_hits,train_hit_rate_pct,train_roi_pct,train_roi_lift_pct,train_positive_months,target_bets,target_hits,target_hit_rate_pct,target_return_yen,target_profit_yen,target_roi_pct,target_avg_hit_payout_yen
L01,1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,1102,257,23.32,137.46,58.03,3,199,32,16.08,17880,-2020,89.85,558.75
L02,1-3,lane1_target_start_gap_pair,best-<=0.03,1405,352,25.05,130.35,50.92,3,249,41,16.47,21490,-3410,86.31,524.15
L03,1-3,lane1_target_exhibition_st_rank_pair,1-2,1139,307,26.95,137.52,58.09,3,246,37,15.04,18760,-5840,76.26,507.03
L04,1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | some_other_pressure,317,125,39.43,130.38,50.97,3,58,16,27.59,4740,-1060,81.72,296.25
L05,1-2,lane1_target_exhibition_st_rank_pair,1-2,2018,599,29.68,121.99,42.58,3,337,67,19.88,25290,-8410,75.04,377.46
L06,1-3,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,2 | 0,1352,346,25.59,128.82,49.39,3,342,58,16.96,29180,-5020,85.32,503.1
L07,1-2,lane1_target_start_gap_pair,best-<=0.03,1653,479,28.98,118.67,39.26,3,269,63,23.42,28120,1220,104.54,446.35
L08,1-3,lane1_target_exhibition_st_rank_pair,1-3,1607,383,23.83,122.48,43.05,3,242,33,13.64,17130,-7070,70.79,519.09
L09,1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,1201,314,26.14,119.67,40.26,3,196,43,21.94,22480,2880,114.69,522.79
L10,1-2,lane1_target_start_gap_pair,best-best,371,112,30.19,126.2,46.79,3,123,30,24.39,10020,-2280,81.46,334.0
