combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen
1-2,overall,all,14087,2617,18.58,1408700,1118700,-290000,79.41,427.47
1-3,overall,all,14087,2234,15.86,1408700,1118950,-289750,79.43,500.87
1-4,overall,all,14087,1441,10.23,1408700,1056330,-352370,74.99,733.05
1-5,overall,all,14087,945,6.71,1408700,1083230,-325470,76.9,1146.28
1-6,overall,all,14087,561,3.98,1408700,1033010,-375690,73.33,1841.37
