portfolio_label,bets,unique_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct
raw_with_overlap,4587,2330,1211,26.4,458700,545910,87210,119.01
dedup_race_combo,3103,2330,816,26.3,310300,364890,54590,117.59
