combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen
1-2,overall,all,12820,2410,18.8,1282000,1042580,-239420,81.32,432.61
1-3,overall,all,12820,2021,15.76,1282000,1006600,-275400,78.52,498.07
1-4,overall,all,12820,1300,10.14,1282000,967290,-314710,75.45,744.07
1-5,overall,all,12820,858,6.69,1282000,1037610,-244390,80.94,1209.34
1-6,overall,all,12820,474,3.7,1282000,839250,-442750,65.46,1770.57
