combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,baseline_hit_rate_pct,baseline_roi_pct,baseline_avg_hit_payout_yen,roi_lift_pct,hit_rate_lift_pct,avg_payout_lift_yen,distortion_type
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-best | some_other_pressure,57,9,15.79,5700,16520,10820,289.82,1835.56,3.7,65.46,1770.57,224.36,12.09,64.99,probability_plus_price
1-6,target_exhibition_rank_bucket x other_exhibition_faster_than_target_count_bucket,4+ | 0,48,2,4.17,4800,11880,7080,247.5,5940.0,3.7,65.46,1770.57,182.04,0.47,4169.43,price_distortion
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | low_other_pressure,31,7,22.58,3100,7230,4130,233.23,1032.86,3.7,65.46,1770.57,167.77,18.88,-737.71,probability_plus_price
1-6,lane1_target_group_pair x target_outer_pressure_bucket,A-B | low_other_pressure,40,8,20.0,4000,9230,5230,230.75,1153.75,3.7,65.46,1770.57,165.29,16.3,-616.82,probability_plus_price
1-6,lane1_target_exhibition_st_rank_pair,1-2,317,41,12.93,31700,66820,35120,210.79,1629.76,3.7,65.46,1770.57,145.33,9.23,-140.81,probability_plus_price
1-6,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 2,317,41,12.93,31700,66820,35120,210.79,1629.76,3.7,65.46,1770.57,145.33,9.23,-140.81,probability_plus_price
1-5,lane1_target_class_pair,B2-A2,75,4,5.33,7500,15640,8140,208.53,3910.0,6.69,80.94,1209.34,127.59,-1.36,2700.66,price_distortion
1-6,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,target_faster_0.05_0.10 | lane1_faster_0.03_0.06,187,15,8.02,18700,36710,18010,196.31,2447.33,3.7,65.46,1770.57,130.85,4.32,676.76,price_distortion
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-0.04-0.06 | some_other_pressure,61,9,14.75,6100,11820,5720,193.77,1313.33,3.7,65.46,1770.57,128.31,11.05,-457.24,probability_plus_price
1-6,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,4+ | 0,53,5,9.43,5300,9430,4130,177.92,1886.0,3.7,65.46,1770.57,112.46,5.73,115.43,price_distortion
1-5,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-best | some_other_pressure,104,19,18.27,10400,17860,7460,171.73,940.0,6.69,80.94,1209.34,90.79,11.58,-269.34,probability_plus_price
1-5,lane1_target_class_pair,B2-B1,161,11,6.83,16100,27380,11280,170.06,2489.09,6.69,80.94,1209.34,89.12,0.14,1279.75,price_distortion
1-6,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,lane1_faster_0.10+ | target_faster_0.03_0.06,189,6,3.17,18900,30810,11910,163.02,5135.0,3.7,65.46,1770.57,97.56,-0.53,3364.43,price_distortion
1-6,target_class_group x target_outer_pressure_bucket,B | low_other_pressure,71,9,12.68,7100,11430,4330,160.99,1270.0,3.7,65.46,1770.57,95.53,8.98,-500.57,probability_plus_price
1-5,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-best | high_other_pressure,119,15,12.61,11900,18360,6460,154.29,1224.0,6.69,80.94,1209.34,73.35,5.92,14.66,probability_plus_price
1-5,lane1_target_exhibition_st_rank_pair,1-2,411,66,16.06,41100,63140,22040,153.63,956.67,6.69,80.94,1209.34,72.69,9.37,-252.67,probability_plus_price
1-5,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 2,411,66,16.06,41100,63140,22040,153.63,956.67,6.69,80.94,1209.34,72.69,9.37,-252.67,probability_plus_price
1-5,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,target_faster_0.10+ | lane1_faster_0.03_0.06,77,12,15.58,7700,11630,3930,151.04,969.17,6.69,80.94,1209.34,70.1,8.89,-240.17,probability_plus_price
1-6,lane1_target_exhibition_st_rank_pair,2-1,291,27,9.28,29100,43900,14800,150.86,1625.93,3.7,65.46,1770.57,85.4,5.58,-144.64,probability_plus_price
1-6,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,2 | 1,291,27,9.28,29100,43900,14800,150.86,1625.93,3.7,65.46,1770.57,85.4,5.58,-144.64,probability_plus_price
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-<=0.03 | low_other_pressure,41,12,29.27,4100,6070,1970,148.05,505.83,18.8,81.32,432.61,66.73,10.47,73.22,probability_plus_price
1-2,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,target_faster_0.10+ | lane1_faster_0.03_0.06,135,36,26.67,13500,19750,6250,146.3,548.61,18.8,81.32,432.61,64.98,7.87,116.0,price_distortion
1-5,lane1_target_exhibition_st_rank_pair,3-1,288,34,11.81,28800,42090,13290,146.15,1237.94,6.69,80.94,1209.34,65.21,5.12,28.6,probability_plus_price
1-5,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,3 | 1,288,34,11.81,28800,42090,13290,146.15,1237.94,6.69,80.94,1209.34,65.21,5.12,28.6,probability_plus_price
1-5,lane1_class,B2,318,18,5.66,31800,46430,14630,146.01,2579.44,6.69,80.94,1209.34,65.07,-1.03,1370.1,price_distortion
1-6,lane1_target_exhibition_st_rank_pair,2-3,203,16,7.88,20300,29640,9340,146.01,1852.5,3.7,65.46,1770.57,80.55,4.18,81.93,price_distortion
1-6,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,2 | 3,203,16,7.88,20300,29640,9340,146.01,1852.5,3.7,65.46,1770.57,80.55,4.18,81.93,price_distortion
1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-best | high_other_pressure,222,59,26.58,22200,31890,9690,143.65,540.51,15.76,78.52,498.07,65.13,10.82,42.44,probability_plus_price
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-0.04-0.06 | low_other_pressure,69,9,13.04,6900,9890,2990,143.33,1098.89,3.7,65.46,1770.57,77.87,9.34,-671.68,probability_plus_price
1-4,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | some_other_pressure,144,40,27.78,14400,20480,6080,142.22,512.0,10.14,75.45,744.07,66.77,17.64,-232.07,probability_plus_price
1-3,lane1_target_group_pair x other_a_count_bucket,B-A | 4,33,5,15.15,3300,4650,1350,140.91,930.0,15.76,78.52,498.07,62.39,-0.61,431.93,price_distortion
1-5,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-0.04-0.06 | low_other_pressure,52,14,26.92,5200,7200,2000,138.46,514.29,6.69,80.94,1209.34,57.52,20.23,-695.05,probability_plus_price
1-5,lane1_target_exhibition_st_rank_pair,2-1,323,43,13.31,32300,44700,12400,138.39,1039.53,6.69,80.94,1209.34,57.45,6.62,-169.81,probability_plus_price
1-5,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,2 | 1,323,43,13.31,32300,44700,12400,138.39,1039.53,6.69,80.94,1209.34,57.45,6.62,-169.81,probability_plus_price
1-6,lane1_target_start_gap_pair,best-best,99,11,11.11,9900,13600,3700,137.37,1236.36,3.7,65.46,1770.57,71.91,7.41,-534.21,probability_plus_price
1-6,target_lane x lane1_target_start_gap_pair,6 | best-best,99,11,11.11,9900,13600,3700,137.37,1236.36,3.7,65.46,1770.57,71.91,7.41,-534.21,probability_plus_price
1-6,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,best | best,99,11,11.11,9900,13600,3700,137.37,1236.36,3.7,65.46,1770.57,71.91,7.41,-534.21,probability_plus_price
1-6,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,2 | 0,649,58,8.94,64900,89080,24180,137.26,1535.86,3.7,65.46,1770.57,71.8,5.24,-234.71,probability_plus_price
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-0.04-0.06 | low_other_pressure,40,16,40.0,4000,5460,1460,136.5,341.25,18.8,81.32,432.61,55.18,21.2,-91.36,probability_plus_price
1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-best | some_other_pressure,134,37,27.61,13400,18230,4830,136.04,492.7,15.76,78.52,498.07,57.52,11.85,-5.37,probability_plus_price
1-4,lane1_target_exhibition_st_rank_pair,1-3,771,143,18.55,77100,104050,26950,134.95,727.62,10.14,75.45,744.07,59.5,8.41,-16.45,probability_plus_price
1-4,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 3,771,143,18.55,77100,104050,26950,134.95,727.62,10.14,75.45,744.07,59.5,8.41,-16.45,probability_plus_price
1-3,lane1_target_start_gap_pair,best-best,285,79,27.72,28500,38380,9880,134.67,485.82,15.76,78.52,498.07,56.15,11.96,-12.25,probability_plus_price
1-3,target_lane x lane1_target_start_gap_pair,3 | best-best,285,79,27.72,28500,38380,9880,134.67,485.82,15.76,78.52,498.07,56.15,11.96,-12.25,probability_plus_price
1-3,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,best | best,285,79,27.72,28500,38380,9880,134.67,485.82,15.76,78.52,498.07,56.15,11.96,-12.25,probability_plus_price
1-5,lane1_target_start_gap_pair,<=0.03-best,581,72,12.39,58100,77510,19410,133.41,1076.53,6.69,80.94,1209.34,52.47,5.7,-132.81,probability_plus_price
1-5,target_lane x lane1_target_start_gap_pair,5 | <=0.03-best,581,72,12.39,58100,77510,19410,133.41,1076.53,6.69,80.94,1209.34,52.47,5.7,-132.81,probability_plus_price
1-5,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,<=0.03 | best,581,72,12.39,58100,77510,19410,133.41,1076.53,6.69,80.94,1209.34,52.47,5.7,-132.81,probability_plus_price
1-5,lane1_target_group_pair x other_a_count_bucket,B-A | 3,244,20,8.2,24400,32450,8050,132.99,1622.5,6.69,80.94,1209.34,52.05,1.51,413.16,price_distortion
1-6,lane1_target_group_pair x other_a_count_bucket,B-A | 4,33,2,6.06,3300,4370,1070,132.42,2185.0,3.7,65.46,1770.57,66.96,2.36,414.43,price_distortion
1-5,lane1_target_start_gap_pair,best-best,157,18,11.46,15700,20680,4980,131.72,1148.89,6.69,80.94,1209.34,50.78,4.77,-60.45,mixed_edge
1-5,target_lane x lane1_target_start_gap_pair,5 | best-best,157,18,11.46,15700,20680,4980,131.72,1148.89,6.69,80.94,1209.34,50.78,4.77,-60.45,mixed_edge
1-5,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,best | best,157,18,11.46,15700,20680,4980,131.72,1148.89,6.69,80.94,1209.34,50.78,4.77,-60.45,mixed_edge
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-best | high_other_pressure,228,64,28.07,22800,29990,7190,131.54,468.59,18.8,81.32,432.61,50.22,9.27,35.98,probability_plus_price
1-5,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,lane1_faster_0.05_0.10 | near_equal,690,52,7.54,69000,90380,21380,130.99,1738.08,6.69,80.94,1209.34,50.05,0.85,528.74,price_distortion
1-5,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,599,57,9.52,59900,78350,18450,130.8,1374.56,6.69,80.94,1209.34,49.86,2.83,165.22,price_distortion
1-6,lane1_target_group_pair x target_outer_pressure_bucket,B-B | some_other_pressure,138,10,7.25,13800,17990,4190,130.36,1799.0,3.7,65.46,1770.57,64.9,3.55,28.43,mixed_edge
1-5,other_group_pattern,B-B-A-A,574,36,6.27,57400,74730,17330,130.19,2075.83,6.69,80.94,1209.34,49.25,-0.42,866.49,price_distortion
1-4,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,target_faster_0.05_0.10 | lane1_faster_0.06+,371,46,12.4,37100,48230,11130,130.0,1048.48,10.14,75.45,744.07,54.55,2.26,304.41,price_distortion
1-3,lane1_target_exhibition_st_rank_pair,1-3,1531,374,24.43,153100,198550,45450,129.69,530.88,15.76,78.52,498.07,51.17,8.67,32.81,probability_plus_price
1-3,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 3,1531,374,24.43,153100,198550,45450,129.69,530.88,15.76,78.52,498.07,51.17,8.67,32.81,probability_plus_price
1-5,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-best | high_other_pressure,439,48,10.93,43900,56920,13020,129.66,1185.83,6.69,80.94,1209.34,48.72,4.24,-23.51,mixed_edge
1-6,lane1_target_start_gap_pair,<=0.03-best,457,37,8.1,45700,59200,13500,129.54,1600.0,3.7,65.46,1770.57,64.08,4.4,-170.57,mixed_edge
1-6,target_lane x lane1_target_start_gap_pair,6 | <=0.03-best,457,37,8.1,45700,59200,13500,129.54,1600.0,3.7,65.46,1770.57,64.08,4.4,-170.57,mixed_edge
1-6,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,<=0.03 | best,457,37,8.1,45700,59200,13500,129.54,1600.0,3.7,65.46,1770.57,64.08,4.4,-170.57,mixed_edge
1-6,stadium_code,09,669,34,5.08,66900,86240,19340,128.91,2536.47,3.7,65.46,1770.57,63.45,1.38,765.9,price_distortion
1-6,stadium_code x target_lane,09 | 6,669,34,5.08,66900,86240,19340,128.91,2536.47,3.7,65.46,1770.57,63.45,1.38,765.9,price_distortion
1-3,lane1_target_class_pair,B2-B1,182,22,12.09,18200,23310,5110,128.08,1059.55,15.76,78.52,498.07,49.56,-3.67,561.48,price_distortion
1-2,grade_group,SG,144,42,29.17,14400,18400,4000,127.78,438.1,18.8,81.32,432.61,46.46,10.37,5.49,probability_plus_price
1-2,lane1_target_exhibition_st_rank_pair,1-2,1871,558,29.82,187100,238620,51520,127.54,427.63,18.8,81.32,432.61,46.22,11.02,-4.98,probability_plus_price
1-2,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 2,1871,558,29.82,187100,238620,51520,127.54,427.63,18.8,81.32,432.61,46.22,11.02,-4.98,probability_plus_price
1-2,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,2 | 0,1871,558,29.82,187100,238620,51520,127.54,427.63,18.8,81.32,432.61,46.22,11.02,-4.98,probability_plus_price
1-6,lane1_target_national_rank_pair x target_outer_pressure_bucket,3-1 | low_other_pressure,143,22,15.38,14300,18190,3890,127.2,826.82,3.7,65.46,1770.57,61.74,11.68,-943.75,probability_plus_price
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-<=0.03 | low_other_pressure,39,6,15.38,3900,4940,1040,126.67,823.33,3.7,65.46,1770.57,61.21,11.68,-947.24,probability_plus_price
1-4,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,target_faster_0.05_0.10 | lane1_faster_0.03_0.06,225,42,18.67,22500,28420,5920,126.31,676.67,10.14,75.45,744.07,50.86,8.53,-67.4,probability_plus_price
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | some_other_pressure,293,108,36.86,29300,36980,7680,126.21,342.41,18.8,81.32,432.61,44.89,18.06,-90.2,probability_plus_price
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-0.04-0.06 | some_other_pressure,112,37,33.04,11200,14110,2910,125.98,381.35,18.8,81.32,432.61,44.66,14.24,-51.26,probability_plus_price
1-3,lane1_target_exhibition_st_rank_pair,1-2,1050,282,26.86,105000,131650,26650,125.38,466.84,15.76,78.52,498.07,46.86,11.1,-31.23,probability_plus_price
1-3,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 2,1050,282,26.86,105000,131650,26650,125.38,466.84,15.76,78.52,498.07,46.86,11.1,-31.23,probability_plus_price
1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-0.04-0.06 | some_other_pressure,203,66,32.51,20300,25430,5130,125.27,385.3,15.76,78.52,498.07,46.75,16.75,-112.77,probability_plus_price
1-5,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-0.04-0.06 | some_other_pressure,126,23,18.25,12600,15770,3170,125.16,685.65,6.69,80.94,1209.34,44.22,11.56,-523.69,probability_plus_price
1-6,target_class_group x target_outer_pressure_bucket,B | some_other_pressure,323,25,7.74,32300,40330,8030,124.86,1613.2,3.7,65.46,1770.57,59.4,4.04,-157.37,mixed_edge
1-5,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,2 | 0,730,93,12.74,73000,89870,16870,123.11,966.34,6.69,80.94,1209.34,42.17,6.05,-243.0,probability_plus_price
1-4,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,lane1_faster_0.10+ | near_equal,486,66,13.58,48600,59820,11220,123.09,906.36,10.14,75.45,744.07,47.64,3.44,162.29,price_distortion
1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-0.04-0.06 | high_other_pressure,1026,222,21.64,102600,125770,23170,122.58,566.53,15.76,78.52,498.07,44.06,5.88,68.46,probability_plus_price
1-3,lane1_target_start_gap_pair,best-0.04-0.06,1296,311,24.0,129600,158290,28690,122.14,508.97,15.76,78.52,498.07,43.62,8.24,10.9,probability_plus_price
1-3,target_lane x lane1_target_start_gap_pair,3 | best-0.04-0.06,1296,311,24.0,129600,158290,28690,122.14,508.97,15.76,78.52,498.07,43.62,8.24,10.9,probability_plus_price
1-3,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,best | 0.04-0.06,1296,311,24.0,129600,158290,28690,122.14,508.97,15.76,78.52,498.07,43.62,8.24,10.9,probability_plus_price
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,1134,279,24.6,113400,137920,24520,121.62,494.34,18.8,81.32,432.61,40.3,5.8,61.73,probability_plus_price
1-5,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-0.04-0.06 | high_other_pressure,537,37,6.89,53700,65030,11330,121.1,1757.57,6.69,80.94,1209.34,40.16,0.2,548.23,price_distortion
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best->0.06 | some_other_pressure,154,42,27.27,15400,18620,3220,120.91,443.33,18.8,81.32,432.61,39.59,8.47,10.72,probability_plus_price
1-6,lane1_target_group_pair x target_outer_pressure_bucket,A-B | some_other_pressure,185,15,8.11,18500,22340,3840,120.76,1489.33,3.7,65.46,1770.57,55.3,4.41,-281.24,mixed_edge
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-best | low_other_pressure,39,7,17.95,3900,4700,800,120.51,671.43,3.7,65.46,1770.57,55.05,14.25,-1099.14,probability_plus_price
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-0.04-0.06 | some_other_pressure,208,74,35.58,20800,25000,4200,120.19,337.84,18.8,81.32,432.61,38.87,16.78,-94.77,probability_plus_price
1-2,lane1_target_start_gap_pair,best-<=0.03,1564,435,27.81,156400,187960,31560,120.18,432.09,18.8,81.32,432.61,38.86,9.01,-0.52,probability_plus_price
1-2,target_lane x lane1_target_start_gap_pair,2 | best-<=0.03,1564,435,27.81,156400,187960,31560,120.18,432.09,18.8,81.32,432.61,38.86,9.01,-0.52,probability_plus_price
1-2,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,best | <=0.03,1564,435,27.81,156400,187960,31560,120.18,432.09,18.8,81.32,432.61,38.86,9.01,-0.52,probability_plus_price
1-2,lane1_target_exhibition_st_rank_pair,2-1,595,179,30.08,59500,71320,11820,119.87,398.44,18.8,81.32,432.61,38.55,11.28,-34.17,probability_plus_price
1-2,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,2 | 1,595,179,30.08,59500,71320,11820,119.87,398.44,18.8,81.32,432.61,38.55,11.28,-34.17,probability_plus_price
1-5,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,target_faster_0.05_0.10 | near_equal,370,31,8.38,37000,44350,7350,119.86,1430.65,6.69,80.94,1209.34,38.92,1.69,221.31,price_distortion
1-6,lane1_target_exhibition_st_rank_pair,1-3,416,26,6.25,41600,49750,8150,119.59,1913.46,3.7,65.46,1770.57,54.13,2.55,142.89,price_distortion
1-6,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 3,416,26,6.25,41600,49750,8150,119.59,1913.46,3.7,65.46,1770.57,54.13,2.55,142.89,price_distortion
1-5,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-best | some_other_pressure,84,13,15.48,8400,10030,1630,119.4,771.54,6.69,80.94,1209.34,38.46,8.79,-437.8,probability_plus_price
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,500,34,6.8,50000,59380,9380,118.76,1746.47,3.7,65.46,1770.57,53.3,3.1,-24.1,mixed_edge
1-6,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,target_faster_0.10+ | near_equal,147,11,7.48,14700,17450,2750,118.71,1586.36,3.7,65.46,1770.57,53.25,3.78,-184.21,mixed_edge
1-5,lane1_target_exhibition_st_rank_pair,3-2,395,35,8.86,39500,46830,7330,118.56,1338.0,6.69,80.94,1209.34,37.62,2.17,128.66,price_distortion
1-5,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,3 | 2,395,35,8.86,39500,46830,7330,118.56,1338.0,6.69,80.94,1209.34,37.62,2.17,128.66,price_distortion
1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,1063,230,21.64,106300,125810,19510,118.35,547.0,15.76,78.52,498.07,39.83,5.88,48.93,probability_plus_price
1-3,lane1_target_start_gap_pair,<=0.03-best,875,201,22.97,87500,103560,16060,118.35,515.22,15.76,78.52,498.07,39.83,7.21,17.15,probability_plus_price
1-3,target_lane x lane1_target_start_gap_pair,3 | <=0.03-best,875,201,22.97,87500,103560,16060,118.35,515.22,15.76,78.52,498.07,39.83,7.21,17.15,probability_plus_price
1-3,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,<=0.03 | best,875,201,22.97,87500,103560,16060,118.35,515.22,15.76,78.52,498.07,39.83,7.21,17.15,probability_plus_price
1-2,lane1_target_exhibition_st_rank_pair,1-3,975,241,24.72,97500,115200,17700,118.15,478.01,18.8,81.32,432.61,36.83,5.92,45.4,probability_plus_price
1-2,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 3,975,241,24.72,97500,115200,17700,118.15,478.01,18.8,81.32,432.61,36.83,5.92,45.4,probability_plus_price
