exclude_lane,rule,sample,hits,hit_rate_pct,baseline_hit_rate_pct,lift_vs_baseline,roi_pct
4,l4_worst_nat & final_day,440,123,27.95,17.9,1.56,70.52
4,l4_worst_class & l4_course_back,459,82,17.86,17.9,1.0,70.21
4,l4_course_back & wave_5_6,215,21,9.77,17.9,0.55,70.0
4,l4_worst_nat & l4_worst_motor,545,147,26.97,17.9,1.51,69.7
4,final_day & l1_class_le_B1,542,74,13.65,17.9,0.76,67.34
4,l4_slowest_exh & final_day,408,90,22.06,17.9,1.23,66.17
4,l4_worst_motor & l4_worst_st,456,89,19.52,17.9,1.09,62.57
4,l4_slowest_exh & l3_class_eq_B2,244,26,10.66,17.9,0.6,60.29
4,l4_worst_st & final_day,350,70,20.0,17.9,1.12,58.47
4,l4_st_gap_ge_005 & final_day,568,101,17.78,17.9,0.99,56.52
4,l4_worst_motor & l4_st_gap_ge_005,778,141,18.12,17.9,1.01,53.58
4,wave_ge_4 & final_day,248,42,16.94,17.9,0.95,49.05
4,l4_worst_motor & l4_slowest_exh,600,127,21.17,17.9,1.18,46.64
