combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen
1-2,overall,all,14280,2680,18.77,1428000,1159460,-268540,81.19,432.63
1-3,overall,all,14280,2212,15.49,1428000,1097580,-330420,76.86,496.19
1-4,overall,all,14280,1482,10.38,1428000,1055750,-372250,73.93,712.38
1-5,overall,all,14280,919,6.44,1428000,1117390,-310610,78.25,1215.88
1-6,overall,all,14280,573,4.01,1428000,990360,-437640,69.35,1728.38
