combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,baseline_hit_rate_pct,baseline_roi_pct,baseline_avg_hit_payout_yen,roi_lift_pct,hit_rate_lift_pct,avg_payout_lift_yen,distortion_type
1-5,lane1_target_group_pair x other_a_count_bucket,B-B | 4,41,3,7.32,4100,10940,6840,266.83,3646.67,6.44,78.25,1215.88,188.58,0.88,2430.79,price_distortion
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | low_other_pressure,49,12,24.49,4900,10860,5960,221.63,905.0,4.01,69.35,1728.38,152.28,20.48,-823.38,probability_plus_price
1-4,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,4+ | 0,31,8,25.81,3100,6570,3470,211.94,821.25,10.38,73.93,712.38,138.01,15.43,108.87,price_distortion
1-4,lane1_target_group_pair x other_a_count_bucket,B-B | 4,34,2,5.88,3400,7070,3670,207.94,3535.0,10.38,73.93,712.38,134.01,-4.5,2822.62,price_distortion
1-6,lane1_target_group_pair x other_a_count_bucket,B-B | 4,45,2,4.44,4500,8980,4480,199.56,4490.0,4.01,69.35,1728.38,130.21,0.43,2761.62,price_distortion
1-6,target_exhibition_rank_bucket x other_exhibition_faster_than_target_count_bucket,4+ | 0,71,6,8.45,7100,14120,7020,198.87,2353.33,4.01,69.35,1728.38,129.52,4.44,624.95,price_distortion
1-5,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | low_other_pressure,49,10,20.41,4900,9670,4770,197.35,967.0,6.44,78.25,1215.88,119.1,13.97,-248.88,probability_plus_price
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-best | some_other_pressure,83,13,15.66,8300,16300,8000,196.39,1253.85,4.01,69.35,1728.38,127.04,11.65,-474.53,probability_plus_price
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-best | low_other_pressure,46,11,23.91,4600,8800,4200,191.3,800.0,4.01,69.35,1728.38,121.95,19.9,-928.38,probability_plus_price
1-5,lane1_target_exhibition_st_rank_pair,1-2,445,71,15.96,44500,81200,36700,182.47,1143.66,6.44,78.25,1215.88,104.22,9.52,-72.22,probability_plus_price
1-5,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 2,445,71,15.96,44500,81200,36700,182.47,1143.66,6.44,78.25,1215.88,104.22,9.52,-72.22,probability_plus_price
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-<=0.03 | some_other_pressure,105,13,12.38,10500,18840,8340,179.43,1449.23,4.01,69.35,1728.38,110.08,8.37,-279.15,probability_plus_price
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-best | high_other_pressure,122,11,9.02,12200,21040,8840,172.46,1912.73,4.01,69.35,1728.38,103.11,5.01,184.35,price_distortion
1-6,lane1_target_group_pair x target_outer_pressure_bucket,A-B | some_other_pressure,250,25,10.0,25000,42870,17870,171.48,1714.8,4.01,69.35,1728.38,102.13,5.99,-13.58,probability_plus_price
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-0.04-0.06 | low_other_pressure,42,7,16.67,4200,6770,2570,161.19,967.14,4.01,69.35,1728.38,91.84,12.66,-761.24,probability_plus_price
1-6,lane1_target_start_gap_pair,best-best,151,13,8.61,15100,23790,8690,157.55,1830.0,4.01,69.35,1728.38,88.2,4.6,101.62,price_distortion
1-6,target_lane x lane1_target_start_gap_pair,6 | best-best,151,13,8.61,15100,23790,8690,157.55,1830.0,4.01,69.35,1728.38,88.2,4.6,101.62,price_distortion
1-6,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,best | best,151,13,8.61,15100,23790,8690,157.55,1830.0,4.01,69.35,1728.38,88.2,4.6,101.62,price_distortion
1-6,lane1_target_exhibition_st_rank_pair,2-3,237,16,6.75,23700,36900,13200,155.7,2306.25,4.01,69.35,1728.38,86.35,2.74,577.87,price_distortion
1-6,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,2 | 3,237,16,6.75,23700,36900,13200,155.7,2306.25,4.01,69.35,1728.38,86.35,2.74,577.87,price_distortion
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | some_other_pressure,101,12,11.88,10100,15690,5590,155.35,1307.5,4.01,69.35,1728.38,86.0,7.87,-420.88,probability_plus_price
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-<=0.03 | low_other_pressure,42,7,16.67,4200,6510,2310,155.0,930.0,4.01,69.35,1728.38,85.65,12.66,-798.38,probability_plus_price
1-5,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,2 | 0,815,106,13.01,81500,122710,41210,150.56,1157.64,6.44,78.25,1215.88,72.31,6.57,-58.24,probability_plus_price
1-6,lane1_target_exhibition_st_rank_pair,1-2,377,31,8.22,37700,56230,18530,149.15,1813.87,4.01,69.35,1728.38,79.8,4.21,85.49,price_distortion
1-6,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 2,377,31,8.22,37700,56230,18530,149.15,1813.87,4.01,69.35,1728.38,79.8,4.21,85.49,price_distortion
1-2,lane1_target_class_pair,B2-A1,36,5,13.89,3600,5350,1750,148.61,1070.0,18.77,81.19,432.63,67.42,-4.88,637.37,price_distortion
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-0.04-0.06 | some_other_pressure,256,96,37.5,25600,37900,12300,148.05,394.79,18.77,81.19,432.63,66.86,18.73,-37.84,probability_plus_price
1-5,lane1_target_exhibition_st_rank_pair,3-2,409,40,9.78,40900,60240,19340,147.29,1506.0,6.44,78.25,1215.88,69.04,3.34,290.12,price_distortion
1-5,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,3 | 2,409,40,9.78,40900,60240,19340,147.29,1506.0,6.44,78.25,1215.88,69.04,3.34,290.12,price_distortion
1-4,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-<=0.03 | low_other_pressure,33,14,42.42,3300,4850,1550,146.97,346.43,10.38,73.93,712.38,73.04,32.04,-365.95,probability_plus_price
1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-0.04-0.06 | low_other_pressure,70,35,50.0,7000,10230,3230,146.14,292.29,15.49,76.86,496.19,69.28,34.51,-203.9,probability_plus_price
1-5,lane1_target_start_gap_pair,best-<=0.03,843,105,12.46,84300,120950,36650,143.48,1151.9,6.44,78.25,1215.88,65.23,6.02,-63.98,probability_plus_price
1-5,target_lane x lane1_target_start_gap_pair,5 | best-<=0.03,843,105,12.46,84300,120950,36650,143.48,1151.9,6.44,78.25,1215.88,65.23,6.02,-63.98,probability_plus_price
1-5,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,best | <=0.03,843,105,12.46,84300,120950,36650,143.48,1151.9,6.44,78.25,1215.88,65.23,6.02,-63.98,probability_plus_price
1-5,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-best | some_other_pressure,100,19,19.0,10000,14100,4100,141.0,742.11,6.44,78.25,1215.88,62.75,12.56,-473.77,probability_plus_price
1-5,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,678,70,10.32,67800,95260,27460,140.5,1360.86,6.44,78.25,1215.88,62.25,3.88,144.98,price_distortion
1-6,lane1_target_exhibition_st_rank_pair,3-2,310,29,9.35,31000,43550,12550,140.48,1501.72,4.01,69.35,1728.38,71.13,5.34,-226.66,probability_plus_price
1-6,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,3 | 2,310,29,9.35,31000,43550,12550,140.48,1501.72,4.01,69.35,1728.38,71.13,5.34,-226.66,probability_plus_price
1-3,lane1_target_class_pair,B1-B2,221,20,9.05,22100,31000,8900,140.27,1550.0,15.49,76.86,496.19,63.41,-6.44,1053.81,price_distortion
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best->0.06 | low_other_pressure,55,22,40.0,5500,7690,2190,139.82,349.55,18.77,81.19,432.63,58.63,21.23,-83.08,probability_plus_price
1-4,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-<=0.03 | some_other_pressure,114,31,27.19,11400,15890,4490,139.39,512.58,10.38,73.93,712.38,65.46,16.81,-199.8,probability_plus_price
1-6,lane1_target_national_rank_pair x target_outer_pressure_bucket,3-2 | some_other_pressure,206,19,9.22,20600,28680,8080,139.22,1509.47,4.01,69.35,1728.38,69.87,5.21,-218.91,probability_plus_price
1-6,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,target_faster_0.05_0.10 | lane1_faster_0.03_0.06,233,17,7.3,23300,32390,9090,139.01,1905.29,4.01,69.35,1728.38,69.66,3.29,176.91,price_distortion
1-5,lane1_target_exhibition_st_rank_pair,2-1,344,40,11.63,34400,47630,13230,138.46,1190.75,6.44,78.25,1215.88,60.21,5.19,-25.13,probability_plus_price
1-5,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,2 | 1,344,40,11.63,34400,47630,13230,138.46,1190.75,6.44,78.25,1215.88,60.21,5.19,-25.13,probability_plus_price
1-5,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | some_other_pressure,116,25,21.55,11600,16020,4420,138.1,640.8,6.44,78.25,1215.88,59.85,15.11,-575.08,probability_plus_price
1-4,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-0.04-0.06 | some_other_pressure,80,16,20.0,8000,11040,3040,138.0,690.0,10.38,73.93,712.38,64.07,9.62,-22.38,probability_plus_price
1-5,lane1_target_exhibition_st_rank_pair,2-3,365,32,8.77,36500,50160,13660,137.42,1567.5,6.44,78.25,1215.88,59.17,2.33,351.62,price_distortion
1-5,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,2 | 3,365,32,8.77,36500,50160,13660,137.42,1567.5,6.44,78.25,1215.88,59.17,2.33,351.62,price_distortion
1-6,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,target_faster_0.10+ | near_equal,182,15,8.24,18200,24970,6770,137.2,1664.67,4.01,69.35,1728.38,67.85,4.23,-63.71,mixed_edge
1-6,lane1_target_start_gap_pair,<=0.03-<=0.03,670,51,7.61,67000,91590,24590,136.7,1795.88,4.01,69.35,1728.38,67.35,3.6,67.5,mixed_edge
1-6,target_lane x lane1_target_start_gap_pair,6 | <=0.03-<=0.03,670,51,7.61,67000,91590,24590,136.7,1795.88,4.01,69.35,1728.38,67.35,3.6,67.5,mixed_edge
1-6,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,<=0.03 | <=0.03,670,51,7.61,67000,91590,24590,136.7,1795.88,4.01,69.35,1728.38,67.35,3.6,67.5,mixed_edge
1-6,lane1_target_start_gap_pair,<=0.03-best,542,46,8.49,54200,72730,18530,134.19,1581.09,4.01,69.35,1728.38,64.84,4.48,-147.29,mixed_edge
1-6,target_lane x lane1_target_start_gap_pair,6 | <=0.03-best,542,46,8.49,54200,72730,18530,134.19,1581.09,4.01,69.35,1728.38,64.84,4.48,-147.29,mixed_edge
1-6,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,<=0.03 | best,542,46,8.49,54200,72730,18530,134.19,1581.09,4.01,69.35,1728.38,64.84,4.48,-147.29,mixed_edge
