portfolio_label,bets,unique_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct
raw_with_overlap,2287,1377,349,15.26,228700,244470,15770,106.9
dedup_race_combo,1577,1377,236,14.97,157700,162410,4710,102.99
