logic_id,combo,slice_family,slice_value,train_sample_races,train_hits,train_hit_rate_pct,train_roi_pct,train_roi_lift_pct,train_positive_months,target_bets,target_hits,target_hit_rate_pct,target_return_yen,target_profit_yen,target_roi_pct,target_avg_hit_payout_yen
L01,1-6,lane1_target_exhibition_st_rank_pair,2-1,344,39,11.34,186.77,113.45,4,103,9,8.74,12060,1760,117.09,1340.0
L02,1-6,lane1_target_exhibition_st_rank_pair,1-2,358,50,13.97,185.89,112.57,4,112,7,6.25,8950,-2250,79.91,1278.57
L03,1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-best | high_other_pressure,418,23,5.5,163.42,90.1,4,135,7,5.19,18610,5110,137.85,2658.57
L04,1-6,lane1_target_start_gap_pair,0.04-0.06-best,556,39,7.01,155.34,82.02,4,165,11,6.67,20590,4090,124.79,1871.82
L05,1-5,lane1_target_exhibition_st_rank_pair,1-2,491,72,14.66,150.14,72.5,4,138,13,9.42,13890,90,100.65,1068.46
L06,1-5,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-best | high_other_pressure,536,62,11.57,145.65,68.01,4,143,11,7.69,14460,160,101.12,1314.55
L07,1-5,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,4+ | 1,528,62,11.74,137.88,60.24,4,138,7,5.07,5940,-7860,43.04,848.57
L08,1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,1236,295,23.87,135.49,55.87,4,271,44,16.24,28670,1570,105.79,651.59
L09,1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | some_other_pressure,348,141,40.52,132.13,51.01,4,75,24,32.0,8570,1070,114.27,357.08
L10,1-3,lane1_target_exhibition_st_rank_pair,1-3,1792,445,24.83,129.78,50.16,4,370,74,20.0,35490,-1510,95.92,479.59
L11,1-3,lane1_target_exhibition_st_rank_pair,1-2,1257,349,27.76,129.68,50.06,4,285,71,24.91,41510,13010,145.65,584.65
L12,1-3,lane1_target_start_gap_pair,best-<=0.03,1576,405,25.7,129.4,49.78,4,352,71,20.17,35730,530,101.51,503.24
