combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen
1-2,overall,all,15280,2856,18.69,1528000,1239530,-288470,81.12,434.01
1-3,overall,all,15280,2446,16.01,1528000,1216540,-311460,79.62,497.36
1-4,overall,all,15280,1568,10.26,1528000,1145470,-382530,74.97,730.53
1-5,overall,all,15280,1028,6.73,1528000,1186310,-341690,77.64,1154.0
1-6,overall,all,15280,624,4.08,1528000,1120380,-407620,73.32,1795.48
