combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,baseline_hit_rate_pct,baseline_roi_pct,baseline_avg_hit_payout_yen,roi_lift_pct,hit_rate_lift_pct,avg_payout_lift_yen,distortion_type
1-6,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,4+ | 0,71,7,9.86,7100,15610,8510,219.86,2230.0,4.08,73.32,1795.48,146.54,5.78,434.52,price_distortion
1-4,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-<=0.03 | low_other_pressure,37,15,40.54,3700,8110,4410,219.19,540.67,10.26,74.97,730.53,144.22,30.28,-189.86,probability_plus_price
1-6,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,lane1_faster_0.10+ | target_faster_0.03_0.06,212,11,5.19,21200,45890,24690,216.46,4171.82,4.08,73.32,1795.48,143.14,1.11,2376.34,price_distortion
1-6,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,target_faster_0.05_0.10 | target_faster_0.03_0.06,162,14,8.64,16200,32400,16200,200.0,2314.29,4.08,73.32,1795.48,126.68,4.56,518.81,price_distortion
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-<=0.03 | low_other_pressure,33,7,21.21,3300,6480,3180,196.36,925.71,4.08,73.32,1795.48,123.04,17.13,-869.77,probability_plus_price
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-0.04-0.06 | low_other_pressure,32,4,12.5,3200,6080,2880,190.0,1520.0,4.08,73.32,1795.48,116.68,8.42,-275.48,probability_plus_price
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-best | some_other_pressure,68,8,11.76,6800,12730,5930,187.21,1591.25,4.08,73.32,1795.48,113.89,7.68,-204.23,probability_plus_price
1-6,lane1_target_exhibition_st_rank_pair,2-1,344,39,11.34,34400,64250,29850,186.77,1647.44,4.08,73.32,1795.48,113.45,7.26,-148.04,probability_plus_price
1-6,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,2 | 1,344,39,11.34,34400,64250,29850,186.77,1647.44,4.08,73.32,1795.48,113.45,7.26,-148.04,probability_plus_price
1-6,lane1_target_exhibition_st_rank_pair,1-2,358,50,13.97,35800,66550,30750,185.89,1331.0,4.08,73.32,1795.48,112.57,9.89,-464.48,probability_plus_price
1-6,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 2,358,50,13.97,35800,66550,30750,185.89,1331.0,4.08,73.32,1795.48,112.57,9.89,-464.48,probability_plus_price
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-best | some_other_pressure,84,10,11.9,8400,15250,6850,181.55,1525.0,4.08,73.32,1795.48,108.23,7.82,-270.48,probability_plus_price
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | low_other_pressure,39,10,25.64,3900,6790,2890,174.1,679.0,4.08,73.32,1795.48,100.78,21.56,-1116.48,probability_plus_price
1-6,lane1_target_group_pair x target_outer_pressure_bucket,B-B | some_other_pressure,160,15,9.38,16000,27600,11600,172.5,1840.0,4.08,73.32,1795.48,99.18,5.3,44.52,probability_plus_price
1-5,lane1_target_class_pair,B2-A2,99,6,6.06,9900,16940,7040,171.11,2823.33,6.73,77.64,1154.0,93.47,-0.67,1669.33,price_distortion
1-6,grade_group,SG,72,4,5.56,7200,12320,5120,171.11,3080.0,4.08,73.32,1795.48,97.79,1.48,1284.52,price_distortion
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-best | high_other_pressure,418,23,5.5,41800,68310,26510,163.42,2970.0,4.08,73.32,1795.48,90.1,1.42,1174.52,price_distortion
1-5,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-best | some_other_pressure,96,15,15.62,9600,15300,5700,159.38,1020.0,6.73,77.64,1154.0,81.74,8.89,-134.0,probability_plus_price
1-6,lane1_target_exhibition_st_rank_pair,3-1,300,24,8.0,30000,47060,17060,156.87,1960.83,4.08,73.32,1795.48,83.55,3.92,165.35,price_distortion
1-6,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,3 | 1,300,24,8.0,30000,47060,17060,156.87,1960.83,4.08,73.32,1795.48,83.55,3.92,165.35,price_distortion
1-5,lane1_target_group_pair x target_outer_pressure_bucket,A-B | low_other_pressure,58,17,29.31,5800,9040,3240,155.86,531.76,6.73,77.64,1154.0,78.22,22.58,-622.24,probability_plus_price
1-6,lane1_target_start_gap_pair,0.04-0.06-best,556,39,7.01,55600,86370,30770,155.34,2214.62,4.08,73.32,1795.48,82.02,2.93,419.14,price_distortion
1-6,target_lane x lane1_target_start_gap_pair,6 | 0.04-0.06-best,556,39,7.01,55600,86370,30770,155.34,2214.62,4.08,73.32,1795.48,82.02,2.93,419.14,price_distortion
1-6,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,0.04-0.06 | best,556,39,7.01,55600,86370,30770,155.34,2214.62,4.08,73.32,1795.48,82.02,2.93,419.14,price_distortion
1-5,lane1_target_exhibition_st_rank_pair,1-2,491,72,14.66,49100,73720,24620,150.14,1023.89,6.73,77.64,1154.0,72.5,7.93,-130.11,probability_plus_price
1-5,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 2,491,72,14.66,49100,73720,24620,150.14,1023.89,6.73,77.64,1154.0,72.5,7.93,-130.11,probability_plus_price
1-6,lane1_target_national_rank_pair x target_outer_pressure_bucket,3-1 | low_other_pressure,163,29,17.79,16300,24180,7880,148.34,833.79,4.08,73.32,1795.48,75.02,13.71,-961.69,probability_plus_price
1-5,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-best | high_other_pressure,150,15,10.0,15000,21850,6850,145.67,1456.67,6.73,77.64,1154.0,68.03,3.27,302.67,price_distortion
1-5,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-best | high_other_pressure,536,62,11.57,53600,78070,24470,145.65,1259.19,6.73,77.64,1154.0,68.01,4.84,105.19,price_distortion
1-5,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,target_faster_0.10+ | lane1_faster_0.03_0.06,98,14,14.29,9800,13990,4190,142.76,999.29,6.73,77.64,1154.0,65.12,7.56,-154.71,probability_plus_price
1-5,lane1_target_start_gap_pair,<=0.03-best,682,81,11.88,68200,95480,27280,140.0,1178.77,6.73,77.64,1154.0,62.36,5.15,24.77,probability_plus_price
1-5,target_lane x lane1_target_start_gap_pair,5 | <=0.03-best,682,81,11.88,68200,95480,27280,140.0,1178.77,6.73,77.64,1154.0,62.36,5.15,24.77,probability_plus_price
1-5,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,<=0.03 | best,682,81,11.88,68200,95480,27280,140.0,1178.77,6.73,77.64,1154.0,62.36,5.15,24.77,probability_plus_price
1-6,lane1_target_group_pair x other_a_count_bucket,B-A | 4,38,3,7.89,3800,5320,1520,140.0,1773.33,4.08,73.32,1795.48,66.68,3.81,-22.15,mixed_edge
1-5,lane1_target_exhibition_st_rank_pair,3-1,359,44,12.26,35900,50020,14120,139.33,1136.82,6.73,77.64,1154.0,61.69,5.53,-17.18,probability_plus_price
1-5,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,3 | 1,359,44,12.26,35900,50020,14120,139.33,1136.82,6.73,77.64,1154.0,61.69,5.53,-17.18,probability_plus_price
1-5,lane1_target_group_pair x other_a_count_bucket,B-A | 3,219,18,8.22,21900,30480,8580,139.18,1693.33,6.73,77.64,1154.0,61.54,1.49,539.33,price_distortion
1-5,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,4+ | 1,528,62,11.74,52800,72800,20000,137.88,1174.19,6.73,77.64,1154.0,60.24,5.01,20.19,probability_plus_price
1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,1236,295,23.87,123600,167460,43860,135.49,567.66,16.01,79.62,497.36,55.87,7.86,70.3,probability_plus_price
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-best | high_other_pressure,294,83,28.23,29400,39710,10310,135.07,478.43,18.69,81.12,434.01,53.95,9.54,44.42,probability_plus_price
1-4,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-0.04-0.06 | low_other_pressure,30,10,33.33,3000,4050,1050,135.0,405.0,10.26,74.97,730.53,60.03,23.07,-325.53,probability_plus_price
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-<=0.03 | low_other_pressure,44,6,13.64,4400,5910,1510,134.32,985.0,4.08,73.32,1795.48,61.0,9.56,-810.48,probability_plus_price
1-5,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-0.04-0.06 | some_other_pressure,83,14,16.87,8300,11130,2830,134.1,795.0,6.73,77.64,1154.0,56.46,10.14,-359.0,probability_plus_price
1-5,lane1_target_start_gap_pair,best-best,191,20,10.47,19100,25260,6160,132.25,1263.0,6.73,77.64,1154.0,54.61,3.74,109.0,price_distortion
1-5,target_lane x lane1_target_start_gap_pair,5 | best-best,191,20,10.47,19100,25260,6160,132.25,1263.0,6.73,77.64,1154.0,54.61,3.74,109.0,price_distortion
1-5,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,best | best,191,20,10.47,19100,25260,6160,132.25,1263.0,6.73,77.64,1154.0,54.61,3.74,109.0,price_distortion
1-4,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | some_other_pressure,158,44,27.85,15800,20890,5090,132.22,474.77,10.26,74.97,730.53,57.25,17.59,-255.76,probability_plus_price
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | some_other_pressure,348,141,40.52,34800,45980,11180,132.13,326.1,18.69,81.12,434.01,51.01,21.83,-107.91,probability_plus_price
1-4,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,4+ | 1,439,70,15.95,43900,57920,14020,131.94,827.43,10.26,74.97,730.53,56.97,5.69,96.9,price_distortion
1-4,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,827,132,15.96,82700,108410,25710,131.09,821.29,10.26,74.97,730.53,56.12,5.7,90.76,price_distortion
1-3,lane1_target_exhibition_st_rank_pair,1-3,1792,445,24.83,179200,232570,53370,129.78,522.63,16.01,79.62,497.36,50.16,8.82,25.27,probability_plus_price
1-3,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 3,1792,445,24.83,179200,232570,53370,129.78,522.63,16.01,79.62,497.36,50.16,8.82,25.27,probability_plus_price
1-3,lane1_target_exhibition_st_rank_pair,1-2,1257,349,27.76,125700,163010,37310,129.68,467.08,16.01,79.62,497.36,50.06,11.75,-30.28,probability_plus_price
1-3,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 2,1257,349,27.76,125700,163010,37310,129.68,467.08,16.01,79.62,497.36,50.06,11.75,-30.28,probability_plus_price
1-6,target_exhibition_st_rank_bucket,1,1611,115,7.14,161100,208570,47470,129.47,1813.65,4.08,73.32,1795.48,56.15,3.06,18.17,mixed_edge
1-6,target_lane x target_exhibition_st_rank_bucket,6 | 1,1611,115,7.14,161100,208570,47470,129.47,1813.65,4.08,73.32,1795.48,56.15,3.06,18.17,mixed_edge
1-6,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,1 | 0,1611,115,7.14,161100,208570,47470,129.47,1813.65,4.08,73.32,1795.48,56.15,3.06,18.17,mixed_edge
1-3,lane1_target_start_gap_pair,best-<=0.03,1576,405,25.7,157600,203930,46330,129.4,503.53,16.01,79.62,497.36,49.78,9.69,6.17,probability_plus_price
1-3,target_lane x lane1_target_start_gap_pair,3 | best-<=0.03,1576,405,25.7,157600,203930,46330,129.4,503.53,16.01,79.62,497.36,49.78,9.69,6.17,probability_plus_price
1-3,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,best | <=0.03,1576,405,25.7,157600,203930,46330,129.4,503.53,16.01,79.62,497.36,49.78,9.69,6.17,probability_plus_price
1-4,lane1_target_exhibition_st_rank_pair,1-3,882,167,18.93,88200,114110,25910,129.38,683.29,10.26,74.97,730.53,54.41,8.67,-47.24,probability_plus_price
1-4,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 3,882,167,18.93,88200,114110,25910,129.38,683.29,10.26,74.97,730.53,54.41,8.67,-47.24,probability_plus_price
1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-0.04-0.06 | low_other_pressure,81,31,38.27,8100,10460,2360,129.14,337.42,16.01,79.62,497.36,49.52,22.26,-159.94,probability_plus_price
1-5,lane1_target_exhibition_st_rank_pair,2-1,371,41,11.05,37100,47500,10400,128.03,1158.54,6.73,77.64,1154.0,50.39,4.32,4.54,mixed_edge
1-5,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,2 | 1,371,41,11.05,37100,47500,10400,128.03,1158.54,6.73,77.64,1154.0,50.39,4.32,4.54,mixed_edge
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-0.04-0.06 | some_other_pressure,122,39,31.97,12200,15610,3410,127.95,400.26,18.69,81.12,434.01,46.83,13.28,-33.75,probability_plus_price
1-5,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,lane1_faster_0.05_0.10 | near_equal,822,64,7.79,82200,104980,22780,127.71,1640.31,6.73,77.64,1154.0,50.07,1.06,486.31,price_distortion
1-4,lane1_target_start_gap_pair,best-<=0.03,1048,187,17.84,104800,133410,28610,127.3,713.42,10.26,74.97,730.53,52.33,7.58,-17.11,probability_plus_price
1-4,target_lane x lane1_target_start_gap_pair,4 | best-<=0.03,1048,187,17.84,104800,133410,28610,127.3,713.42,10.26,74.97,730.53,52.33,7.58,-17.11,probability_plus_price
