combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,baseline_hit_rate_pct,baseline_roi_pct,baseline_avg_hit_payout_yen,roi_lift_pct,hit_rate_lift_pct,avg_payout_lift_yen,distortion_type,positive_months,months_with_sample
1-6,lane1_target_exhibition_st_rank_pair,2-1,344,39,11.34,34400,64250,29850,186.77,1647.44,4.08,73.32,1795.48,113.45,7.26,-148.04,probability_plus_price,4,4
1-6,lane1_target_exhibition_st_rank_pair,1-2,358,50,13.97,35800,66550,30750,185.89,1331.0,4.08,73.32,1795.48,112.57,9.89,-464.48,probability_plus_price,4,4
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-best | high_other_pressure,418,23,5.5,41800,68310,26510,163.42,2970.0,4.08,73.32,1795.48,90.1,1.42,1174.52,price_distortion,4,4
1-6,lane1_target_start_gap_pair,0.04-0.06-best,556,39,7.01,55600,86370,30770,155.34,2214.62,4.08,73.32,1795.48,82.02,2.93,419.14,price_distortion,4,4
1-5,lane1_target_exhibition_st_rank_pair,1-2,491,72,14.66,49100,73720,24620,150.14,1023.89,6.73,77.64,1154.0,72.5,7.93,-130.11,probability_plus_price,4,4
1-5,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-best | high_other_pressure,536,62,11.57,53600,78070,24470,145.65,1259.19,6.73,77.64,1154.0,68.01,4.84,105.19,price_distortion,4,4
1-5,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,4+ | 1,528,62,11.74,52800,72800,20000,137.88,1174.19,6.73,77.64,1154.0,60.24,5.01,20.19,probability_plus_price,4,4
1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,1236,295,23.87,123600,167460,43860,135.49,567.66,16.01,79.62,497.36,55.87,7.86,70.3,probability_plus_price,4,4
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | some_other_pressure,348,141,40.52,34800,45980,11180,132.13,326.1,18.69,81.12,434.01,51.01,21.83,-107.91,probability_plus_price,4,4
1-3,lane1_target_exhibition_st_rank_pair,1-3,1792,445,24.83,179200,232570,53370,129.78,522.63,16.01,79.62,497.36,50.16,8.82,25.27,probability_plus_price,4,4
1-3,lane1_target_exhibition_st_rank_pair,1-2,1257,349,27.76,125700,163010,37310,129.68,467.08,16.01,79.62,497.36,50.06,11.75,-30.28,probability_plus_price,4,4
1-3,lane1_target_start_gap_pair,best-<=0.03,1576,405,25.7,157600,203930,46330,129.4,503.53,16.01,79.62,497.36,49.78,9.69,6.17,probability_plus_price,4,4
