combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen
1-2,overall,all,13433,2516,18.73,1343300,1116820,-226480,83.14,443.89
1-3,overall,all,13433,2125,15.82,1343300,1039260,-304040,77.37,489.06
1-4,overall,all,13433,1403,10.44,1343300,980210,-363090,72.97,698.65
1-5,overall,all,13433,822,6.12,1343300,997580,-345720,74.26,1213.6
1-6,overall,all,13433,559,4.16,1343300,1011990,-331310,75.34,1810.36
