combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,baseline_hit_rate_pct,baseline_roi_pct,baseline_avg_hit_payout_yen,roi_lift_pct,hit_rate_lift_pct,avg_payout_lift_yen,distortion_type
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | low_other_pressure,49,12,24.49,4900,12100,7200,246.94,1008.33,4.16,75.34,1810.36,171.6,20.33,-802.03,probability_plus_price
1-6,lane1_target_exhibition_st_rank_pair,3-2,280,29,10.36,28000,54850,26850,195.89,1891.38,4.16,75.34,1810.36,120.55,6.2,81.02,price_distortion
1-6,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,3 | 2,280,29,10.36,28000,54850,26850,195.89,1891.38,4.16,75.34,1810.36,120.55,6.2,81.02,price_distortion
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06->0.06 | low_other_pressure,37,7,18.92,3700,7010,3310,189.46,1001.43,4.16,75.34,1810.36,114.12,14.76,-808.93,probability_plus_price
1-5,lane1_target_exhibition_st_rank_pair,1-2,413,64,15.5,41300,75900,34600,183.78,1185.94,6.12,74.26,1213.6,109.52,9.38,-27.66,probability_plus_price
1-5,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 2,413,64,15.5,41300,75900,34600,183.78,1185.94,6.12,74.26,1213.6,109.52,9.38,-27.66,probability_plus_price
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-best | low_other_pressure,59,10,16.95,5900,10230,4330,173.39,1023.0,4.16,75.34,1810.36,98.05,12.79,-787.36,probability_plus_price
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-<=0.03 | some_other_pressure,70,8,11.43,7000,12130,5130,173.29,1516.25,4.16,75.34,1810.36,97.95,7.27,-294.11,probability_plus_price
1-5,lane1_target_exhibition_st_rank_pair,2-1,345,49,14.2,34500,58620,24120,169.91,1196.33,6.12,74.26,1213.6,95.65,8.08,-17.27,probability_plus_price
1-5,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,2 | 1,345,49,14.2,34500,58620,24120,169.91,1196.33,6.12,74.26,1213.6,95.65,8.08,-17.27,probability_plus_price
1-6,lane1_target_exhibition_st_rank_pair,2-1,304,33,10.86,30400,50900,20500,167.43,1542.42,4.16,75.34,1810.36,92.09,6.7,-267.94,probability_plus_price
1-6,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,2 | 1,304,33,10.86,30400,50900,20500,167.43,1542.42,4.16,75.34,1810.36,92.09,6.7,-267.94,probability_plus_price
1-6,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,target_faster_0.10+ | near_equal,120,12,10.0,12000,20030,8030,166.92,1669.17,4.16,75.34,1810.36,91.58,5.84,-141.19,probability_plus_price
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-best | high_other_pressure,365,21,5.75,36500,60450,23950,165.62,2878.57,4.16,75.34,1810.36,90.28,1.59,1068.21,price_distortion
1-6,lane1_target_group_pair x target_outer_pressure_bucket,A-B | some_other_pressure,253,26,10.28,25300,41340,16040,163.4,1590.0,4.16,75.34,1810.36,88.06,6.12,-220.36,probability_plus_price
1-5,lane1_target_exhibition_st_rank_pair,3-2,399,40,10.03,39900,60760,20860,152.28,1519.0,6.12,74.26,1213.6,78.02,3.91,305.4,price_distortion
1-5,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,3 | 2,399,40,10.03,39900,60760,20860,152.28,1519.0,6.12,74.26,1213.6,78.02,3.91,305.4,price_distortion
1-6,grade_group,G1,120,5,4.17,12000,18090,6090,150.75,3618.0,4.16,75.34,1810.36,75.41,0.01,1807.64,price_distortion
1-5,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-0.04-0.06 | some_other_pressure,61,5,8.2,6100,9110,3010,149.34,1822.0,6.12,74.26,1213.6,75.08,2.08,608.4,price_distortion
1-6,lane1_target_exhibition_st_rank_pair,3-1,246,22,8.94,24600,36720,12120,149.27,1669.09,4.16,75.34,1810.36,73.93,4.78,-141.27,mixed_edge
1-6,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,3 | 1,246,22,8.94,24600,36720,12120,149.27,1669.09,4.16,75.34,1810.36,73.93,4.78,-141.27,mixed_edge
1-5,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-best | high_other_pressure,419,48,11.46,41900,62400,20500,148.93,1300.0,6.12,74.26,1213.6,74.67,5.34,86.4,price_distortion
1-3,lane1_target_group_pair x other_a_count_bucket,A-B | 4,97,24,24.74,9700,14390,4690,148.35,599.58,15.82,77.37,489.06,70.98,8.92,110.52,price_distortion
1-6,lane1_target_start_gap_pair,0.04-0.06-best,484,34,7.02,48400,71690,23290,148.12,2108.53,4.16,75.34,1810.36,72.78,2.86,298.17,price_distortion
1-6,target_lane x lane1_target_start_gap_pair,6 | 0.04-0.06-best,484,34,7.02,48400,71690,23290,148.12,2108.53,4.16,75.34,1810.36,72.78,2.86,298.17,price_distortion
1-6,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,0.04-0.06 | best,484,34,7.02,48400,71690,23290,148.12,2108.53,4.16,75.34,1810.36,72.78,2.86,298.17,price_distortion
1-4,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-best | high_other_pressure,136,23,16.91,13600,20100,6500,147.79,873.91,10.44,72.97,698.65,74.82,6.47,175.26,price_distortion
1-6,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,near_equal | target_faster_0.03_0.06,653,52,7.96,65300,96390,31090,147.61,1853.65,4.16,75.34,1810.36,72.27,3.8,43.29,mixed_edge
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-0.04-0.06 | low_other_pressure,44,8,18.18,4400,6430,2030,146.14,803.75,4.16,75.34,1810.36,70.8,14.02,-1006.61,probability_plus_price
1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-best | some_other_pressure,55,20,36.36,5500,8020,2520,145.82,401.0,15.82,77.37,489.06,68.45,20.54,-88.06,probability_plus_price
1-6,lane1_target_class_pair,B2-B2,60,1,1.67,6000,8720,2720,145.33,8720.0,4.16,75.34,1810.36,69.99,-2.49,6909.64,price_distortion
1-6,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,target_faster_0.10+ | lane1_faster_0.06+,208,14,6.73,20800,30190,9390,145.14,2156.43,4.16,75.34,1810.36,69.8,2.57,346.07,price_distortion
1-3,lane1_target_class_pair,B1-B2,251,28,11.16,25100,36370,11270,144.9,1298.93,15.82,77.37,489.06,67.53,-4.66,809.87,price_distortion
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | low_other_pressure,111,53,47.75,11100,15920,4820,143.42,300.38,18.73,83.14,443.89,60.28,29.02,-143.51,probability_plus_price
1-6,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,target_faster_0.10+ | lane1_faster_0.03_0.06,81,6,7.41,8100,11550,3450,142.59,1925.0,4.16,75.34,1810.36,67.25,3.25,114.64,price_distortion
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,>0.06-<=0.03 | some_other_pressure,83,9,10.84,8300,11690,3390,140.84,1298.89,4.16,75.34,1810.36,65.5,6.68,-511.47,probability_plus_price
1-4,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,3 | 0,229,50,21.83,22900,32130,9230,140.31,642.6,10.44,72.97,698.65,67.34,11.39,-56.05,probability_plus_price
1-5,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,2 | 0,791,90,11.38,79100,110960,31860,140.28,1232.89,6.12,74.26,1213.6,66.02,5.26,19.29,probability_plus_price
1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best->0.06 | low_other_pressure,44,15,34.09,4400,6060,1660,137.73,404.0,15.82,77.37,489.06,60.36,18.27,-85.06,probability_plus_price
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-<=0.03 | low_other_pressure,39,17,43.59,3900,5360,1460,137.44,315.29,18.73,83.14,443.89,54.3,24.86,-128.6,probability_plus_price
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-<=0.03 | high_other_pressure,408,75,18.38,40800,56030,15230,137.33,747.07,18.73,83.14,443.89,54.19,-0.35,303.18,price_distortion
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-best | low_other_pressure,50,8,16.0,5000,6840,1840,136.8,855.0,4.16,75.34,1810.36,61.46,11.84,-955.36,probability_plus_price
1-4,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | low_other_pressure,60,20,33.33,6000,8160,2160,136.0,408.0,10.44,72.97,698.65,63.03,22.89,-290.65,probability_plus_price
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-0.04-0.06 | some_other_pressure,199,75,37.69,19900,27060,7160,135.98,360.8,18.73,83.14,443.89,52.84,18.96,-83.09,probability_plus_price
1-5,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-best | some_other_pressure,95,18,18.95,9500,12900,3400,135.79,716.67,6.12,74.26,1213.6,61.53,12.83,-496.93,probability_plus_price
1-6,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,near_equal | lane1_faster_0.03_0.06,910,49,5.38,91000,123560,32560,135.78,2521.63,4.16,75.34,1810.36,60.44,1.22,711.27,price_distortion
1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-best | high_other_pressure,240,60,25.0,24000,32340,8340,134.75,539.0,15.82,77.37,489.06,57.38,9.18,49.94,probability_plus_price
1-4,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,target_faster_0.10+ | lane1_faster_0.03_0.06,80,13,16.25,8000,10730,2730,134.12,825.38,10.44,72.97,698.65,61.15,5.81,126.73,price_distortion
1-2,lane1_target_exhibition_st_rank_pair,1-2,1889,611,32.35,188900,252210,63310,133.52,412.78,18.73,83.14,443.89,50.38,13.62,-31.11,probability_plus_price
1-2,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 2,1889,611,32.35,188900,252210,63310,133.52,412.78,18.73,83.14,443.89,50.38,13.62,-31.11,probability_plus_price
1-2,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,2 | 0,1889,611,32.35,188900,252210,63310,133.52,412.78,18.73,83.14,443.89,50.38,13.62,-31.11,probability_plus_price
1-3,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,target_faster_0.10+ | lane1_faster_0.06+,105,23,21.9,10500,14010,3510,133.43,609.13,15.82,77.37,489.06,56.06,6.08,120.07,price_distortion
1-5,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,623,68,10.91,62300,82830,20530,132.95,1218.09,6.12,74.26,1213.6,58.69,4.79,4.49,mixed_edge
1-5,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03->0.06 | some_other_pressure,97,15,15.46,9700,12850,3150,132.47,856.67,6.12,74.26,1213.6,58.21,9.34,-356.93,probability_plus_price
1-3,lane1_target_start_gap_pair,best-best,322,87,27.02,32200,42510,10310,132.02,488.62,15.82,77.37,489.06,54.65,11.2,-0.44,probability_plus_price
1-3,target_lane x lane1_target_start_gap_pair,3 | best-best,322,87,27.02,32200,42510,10310,132.02,488.62,15.82,77.37,489.06,54.65,11.2,-0.44,probability_plus_price
1-3,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,best | best,322,87,27.02,32200,42510,10310,132.02,488.62,15.82,77.37,489.06,54.65,11.2,-0.44,probability_plus_price
1-6,stadium_code,06,586,28,4.78,58600,77080,18480,131.54,2752.86,4.16,75.34,1810.36,56.2,0.62,942.5,price_distortion
1-6,stadium_code x target_lane,06 | 6,586,28,4.78,58600,77080,18480,131.54,2752.86,4.16,75.34,1810.36,56.2,0.62,942.5,price_distortion
1-5,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-best | high_other_pressure,104,8,7.69,10400,13670,3270,131.44,1708.75,6.12,74.26,1213.6,57.18,1.57,495.15,price_distortion
1-4,lane1_target_start_gap_pair,best-best,180,30,16.67,18000,23650,5650,131.39,788.33,10.44,72.97,698.65,58.42,6.23,89.68,price_distortion
1-4,target_lane x lane1_target_start_gap_pair,4 | best-best,180,30,16.67,18000,23650,5650,131.39,788.33,10.44,72.97,698.65,58.42,6.23,89.68,price_distortion
1-4,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,best | best,180,30,16.67,18000,23650,5650,131.39,788.33,10.44,72.97,698.65,58.42,6.23,89.68,price_distortion
1-4,lane1_target_exhibition_st_rank_pair,1-2,564,101,17.91,56400,74100,17700,131.38,733.66,10.44,72.97,698.65,58.41,7.47,35.01,probability_plus_price
