portfolio_label,bets,unique_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct
raw_with_overlap,4773,2088,1169,24.49,477300,552060,74760,115.66
dedup_race_combo,2534,2088,587,23.16,253400,279530,26130,110.31
