combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen
1-2,overall,all,14426,2453,17.0,1442600,1114250,-328350,77.24,454.24
1-3,overall,all,14426,2271,15.74,1442600,1155750,-286850,80.12,508.92
1-4,overall,all,14426,1490,10.33,1442600,1107870,-334730,76.8,743.54
1-5,overall,all,14426,925,6.41,1442600,1076390,-366210,74.61,1163.66
1-6,overall,all,14426,556,3.85,1442600,985590,-457010,68.32,1772.64
