race_id,race_date,stadium_code,stadium_name,race_no,grade,meeting_day_no,meeting_day_label,is_final_day,lane,racer_id,racer_name,racer_class,branch,hometown,age,weight_kg,weight_kg_before,adjust_weight_kg,f_count,l_count,avg_start_timing,national_win_rate,national_place_rate,national_top3_rate,local_win_rate,local_place_rate,local_top3_rate,motor_no,motor_place_rate,motor_top3_rate,boat_no,boat_place_rate,boat_top3_rate,exhibition_time,tilt,course_entry,start_exhibition_st,start_exhibition_status,weather_condition,weather_temp_c,wind_speed_m,wind_direction_code,water_temp_c,wave_height_cm,first_place_lane,second_place_lane,third_place_lane,is_winner,is_top2,is_top3,exhibition_time_rank,exhibition_time_diff_from_top,win_rate_rank,st_diff_from_inside,is_hometown
202401010904,2024-01-01,09,津,4,一般,3,第3日,False,3,3931,黒崎竜也,A1,三重,,47,50.0,,,,,,6.23,46.92,,6.3,48.72,,39,14.29,,27,0.0,,6.66,,3,0.11,,晴,,7,,,5,1,2,4,0,0,0,1,0.0,1,0.03,0
202401010904,2024-01-01,09,津,4,一般,3,第3日,False,4,4568,廣瀬真也,B1,東京,,35,50.0,,,,,,4.84,30.3,,5.14,31.82,,73,52.94,,19,11.11,,6.66,,4,0.16,,晴,,7,,,5,1,2,4,0,0,1,2,0.0,5,0.05,0
202401010904,2024-01-01,09,津,4,一般,3,第3日,False,5,3842,星野太郎,A2,三重,,47,53.0,,,,,,5.86,39.46,,6.53,48.92,,51,42.86,,20,30.0,,6.85,,5,0.22,,晴,,7,,,5,1,2,4,0,0,0,6,0.19,3,0.06,0
202401010904,2024-01-01,09,津,4,一般,3,第3日,False,6,4797,中山将,A2,三重,,31,54.0,,,,,,6.1,46.67,,6.06,47.37,,59,63.64,,44,14.29,,6.72,,6,0.17,,晴,,7,,,5,1,2,4,0,0,0,4,0.06,2,-0.05,0
202401011404,2024-01-01,14,鳴門,4,一般,3,第3日,False,1,3333,丸尾義孝,A2,徳島,,55,53.0,,,,,,6.24,46.56,,6.15,44.81,,60,31.14,,23,41.85,,7.03,,1,0.04,,晴,,4,,,4,4,2,3,0,0,0,6,0.19,2,,0
202401011404,2024-01-01,14,鳴門,4,一般,3,第3日,False,2,3477,近藤稔也,B1,徳島,,53,52.0,,,,,,4.33,26.44,,4.69,26.73,,70,40.12,,66,36.31,,6.98,,2,0.06,,晴,,4,,,4,4,2,3,0,1,1,4,0.14,4,0.02,0
202401011404,2024-01-01,14,鳴門,4,一般,3,第3日,False,3,4167,片岡秀樹,B1,徳島,,41,57.0,,,,,,4.65,24.71,,5.13,31.11,,52,43.09,,60,33.33,,6.92,,3,0.01,,晴,,4,,,4,4,2,3,0,0,1,2,0.08,3,-0.05,0
202401011404,2024-01-01,14,鳴門,4,一般,3,第3日,False,4,4685,島村隆幸,A1,徳島,,33,51.0,,,,,,6.7,38.58,,7.48,61.11,,66,32.39,,20,34.78,,6.93,,4,0.02,,晴,,4,,,4,4,2,3,1,1,1,3,0.09,1,0.01,0
202401011404,2024-01-01,14,鳴門,4,一般,3,第3日,False,5,5249,三木晴斗,B1,徳島,,21,54.0,,,,,,2.19,1.43,,2.08,2.08,,20,43.11,,54,35.39,,6.84,,5,0.03,,晴,,4,,,4,4,2,3,0,0,0,1,0.0,6,0.01,0
202401011404,2024-01-01,14,鳴門,4,一般,3,第3日,False,6,5025,粟田祥,B2,徳島,,28,58.0,,,,,,3.81,20.63,,3.29,14.13,,39,34.62,,74,35.12,,7.0,,6,0.05,,晴,,4,,,4,4,2,3,0,0,0,5,0.16,5,0.02,0
202401020102,2024-01-02,01,桐生,2,一般,1,第1日,False,1,4407,鹿島敏弘,B1,群馬,,37,56.0,,,,,,5.22,29.13,,5.64,32.14,,31,28.57,,63,33.33,,6.72,,1,0.21,,晴,,2,,,1,6,4,1,0,0,1,1,0.0,3,,0
