combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen
1-2,overall,all,14003,2538,18.12,1400300,1114860,-285440,79.62,439.27
1-3,overall,all,14003,2155,15.39,1400300,1126010,-274290,80.41,522.51
1-4,overall,all,14003,1440,10.28,1400300,1087820,-312480,77.68,755.43
1-5,overall,all,14003,850,6.07,1400300,1021240,-379060,72.93,1201.46
1-6,overall,all,14003,527,3.76,1400300,942590,-457710,67.31,1788.6
