cycle_month,target_window,logic_id,combo,slice_family,slice_value,train_sample_races,train_hits,train_hit_rate_pct,train_roi_pct,train_roi_lift_pct,train_positive_months,target_bets,target_hits,target_hit_rate_pct,target_return_yen,target_profit_yen,target_roi_pct,target_avg_hit_payout_yen
2026-04,2026-04-11_to_2026-05-10,L01,1-5,lane1_target_exhibition_st_rank_pair,1-2,511,54,10.57,128.88,50.47,4,134,9,6.72,3880,-9520,28.96,431.11
2026-04,2026-04-11_to_2026-05-10,L02,1-5,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,695,61,8.78,125.9,47.49,4,142,8,5.63,5040,-9160,35.49,630.0
2026-04,2026-04-11_to_2026-05-10,L03,1-5,lane1_target_start_gap_pair,best-<=0.03,866,90,10.39,119.99,41.58,4,175,11,6.29,6770,-10730,38.69,615.45
2026-04,2026-04-11_to_2026-05-10,L04,1-6,lane1_target_exhibition_st_rank_pair,3-1,358,28,7.82,146.17,76.21,3,88,2,2.27,4010,-4790,45.57,2005.0
2026-04,2026-04-11_to_2026-05-10,L05,1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-best | high_other_pressure,308,90,29.22,128.05,48.01,3,58,12,20.69,4800,-1000,82.76,400.0
2026-04,2026-04-11_to_2026-05-10,L06,1-2,lane1_target_start_gap_pair,best-best,406,126,31.03,123.15,43.11,3,78,17,21.79,6160,-1640,78.97,362.35
2026-04,2026-04-11_to_2026-05-10,L07,1-5,lane1_target_start_gap_pair,0.04-0.06-0.04-0.06,554,46,8.3,118.29,39.88,3,95,8,8.42,10100,600,106.32,1262.5
2026-04,2026-04-11_to_2026-05-10,L08,1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,>0.06-best | high_other_pressure,981,44,4.49,117.91,47.95,3,241,10,4.15,16600,-7500,68.88,1660.0
2026-04,2026-04-11_to_2026-05-10,L09,1-3,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,2 | 0,1354,315,23.26,115.8,37.16,3,257,54,21.01,22200,-3500,86.38,411.11
2026-04,2026-04-11_to_2026-05-10,L10,1-4,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,766,103,13.45,115.47,41.0,3,142,17,11.97,11790,-2410,83.03,693.53
2026-04,2026-04-11_to_2026-05-10,L11,1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,1049,261,24.88,115.43,35.39,3,163,31,19.02,14470,-1830,88.77,466.77
2026-04,2026-04-11_to_2026-05-10,L12,1-2,lane1_target_exhibition_st_rank_pair,1-2,1752,494,28.2,115.22,35.18,3,259,47,18.15,20910,-4990,80.73,444.89
