combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,baseline_hit_rate_pct,baseline_roi_pct,baseline_avg_hit_payout_yen,roi_lift_pct,hit_rate_lift_pct,avg_payout_lift_yen,distortion_type
1-6,lane1_target_exhibition_st_rank_pair,2-3,284,13,4.58,28400,58700,30300,206.69,4515.38,3.74,69.64,1862.49,137.05,0.84,2652.89,price_distortion
1-6,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,2 | 3,284,13,4.58,28400,58700,30300,206.69,4515.38,3.74,69.64,1862.49,137.05,0.84,2652.89,price_distortion
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-best | low_other_pressure,58,12,20.69,5800,11600,5800,200.0,966.67,3.74,69.64,1862.49,130.36,16.95,-895.82,probability_plus_price
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-0.04-0.06 | high_other_pressure,407,15,3.69,40700,77960,37260,191.55,5197.33,3.74,69.64,1862.49,121.91,-0.05,3334.84,price_distortion
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-best | some_other_pressure,85,9,10.59,8500,15990,7490,188.12,1776.67,3.74,69.64,1862.49,118.48,6.85,-85.82,probability_plus_price
1-5,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,target_faster_0.10+ | lane1_faster_0.03_0.06,88,6,6.82,8800,15530,6730,176.48,2588.33,6.12,74.8,1222.62,101.68,0.7,1365.71,price_distortion
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06->0.06 | low_other_pressure,45,9,20.0,4500,7820,3320,173.78,868.89,3.74,69.64,1862.49,104.14,16.26,-993.6,probability_plus_price
1-6,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,target_faster_0.10+ | target_faster_0.03_0.06,73,7,9.59,7300,12520,5220,171.51,1788.57,3.74,69.64,1862.49,101.87,5.85,-73.92,probability_plus_price
1-6,lane1_target_start_gap_pair,0.04-0.06-0.04-0.06,489,17,3.48,48900,81950,33050,167.59,4820.59,3.74,69.64,1862.49,97.95,-0.26,2958.1,price_distortion
1-6,target_lane x lane1_target_start_gap_pair,6 | 0.04-0.06-0.04-0.06,489,17,3.48,48900,81950,33050,167.59,4820.59,3.74,69.64,1862.49,97.95,-0.26,2958.1,price_distortion
