combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen
1-2,overall,all,14923,2627,17.6,1492300,1180680,-311620,79.12,449.44
1-3,overall,all,14923,2294,15.37,1492300,1200320,-291980,80.43,523.24
1-4,overall,all,14923,1503,10.07,1492300,1155580,-336720,77.44,768.85
1-5,overall,all,14923,913,6.12,1492300,1116250,-376050,74.8,1222.62
1-6,overall,all,14923,558,3.74,1492300,1039270,-453030,69.64,1862.49
